matchday,trap_type,h_rank,a_rank,h_points,a_points,h_gd,a_gd,h_gs,a_gs,h_gc,a_gc,won
7,CRUSHER_HOME_FAV,2,14,18,4,8,-5,12,3,4,8,True
8,GRAVITY_HOME_DOG,15,12,3,6,-9,-4,5,2,14,6,False
8,GRAVITY_HOME_DOG,14,4,4,13,-12,5,3,13,15,8,False
8,GRAVITY_HOME_DOG,16,10,1,9,-11,0,1,12,12,12,True
10,GRAVITY_AWAY_DOG,13,14,6,6,-7,-9,10,7,17,16,False
12,GRAVITY_AWAY_DOG,12,16,12,6,-9,-12,12,5,21,17,True
13,GRAVITY_HOME_DOG,16,3,6,27,-13,14,5,27,18,13,True
14,GRAVITY_AWAY_DOG,6,16,25,6,7,-15,22,6,15,21,True
14,GRAVITY_HOME_DOG,14,5,13,25,-7,9,15,27,22,18,True
15,GRAVITY_AWAY_DOG,15,14,9,13,-9,-9,14,16,23,25,True
15,GRAVITY_HOME_DOG,13,6,14,26,-5,7,10,22,15,15,False
16,GRAVITY_HOME_DOG,14,16,13,7,-10,-17,16,6,26,23,False
19,GRAVITY_HOME_DOG,14,11,17,19,-19,-7,16,20,35,27,False
20,GRAVITY_AWAY_DOG,7,14,30,17,11,-14,25,12,14,26,True
22,GRAVITY_AWAY_DOG,10,16,24,10,-3,-27,27,10,30,37,True
25,GRAVITY_AWAY_DOG,3,15,46,22,18,-13,45,26,27,39,True
9,CRUSHER_AWAY_FAV,15,3,6,16,-8,3,4,8,12,5,False
11,GRAVITY_HOME_DOG,14,7,10,16,-7,0,10,19,17,19,False
15,GRAVITY_HOME_DOG,15,11,10,18,-14,3,9,14,23,11,True
16,GRAVITY_HOME_DOG,16,12,10,18,-15,-5,10,16,25,21,False
19,GRAVITY_HOME_DOG,14,15,18,17,-9,-12,21,13,30,25,False
23,GRAVITY_HOME_DOG,14,2,20,44,-14,12,21,32,35,20,True
24,GRAVITY_HOME_DOG,14,12,20,30,-15,-12,22,29,37,41,True
25,GRAVITY_AWAY_DOG,11,16,33,15,-10,-28,24,23,34,51,True
25,GRAVITY_AWAY_DOG,8,14,35,20,-3,-16,31,23,34,39,True
26,GRAVITY_HOME_DOG,14,13,20,26,-19,-9,23,29,42,38,True
27,GRAVITY_AWAY_DOG,5,15,39,20,13,-21,39,23,26,44,True
28,GRAVITY_HOME_DOG,15,3,20,45,-25,10,23,31,48,21,True
29,GRAVITY_AWAY_DOG,9,15,40,20,6,-27,43,24,37,51,True
7,CRUSHER_HOME_FAV,1,15,16,2,10,-5,15,3,5,8,True
7,GRAVITY_HOME_DOG,16,3,1,14,-13,5,2,8,15,3,False
8,GRAVITY_HOME_DOG,16,5,2,11,-7,-1,4,8,11,9,True
9,GRAVITY_AWAY_DOG,8,16,11,2,3,-8,14,7,11,15,True
10,GRAVITY_HOME_DOG,16,3,2,18,-9,11,7,16,16,5,True
10,GRAVITY_HOME_DOG,14,15,6,4,-10,-14,6,5,16,19,False
11,GRAVITY_AWAY_DOG,15,16,4,2,-16,-11,6,7,22,18,True
12,GRAVITY_HOME_DOG,16,9,2,17,-14,0,7,16,21,16,True
26,GRAVITY_HOME_DOG,14,13,22,25,-15,-8,30,19,45,27,True
27,GRAVITY_AWAY_DOG,2,15,50,22,16,-16,41,30,25,46,True
28,GRAVITY_HOME_DOG,15,7,22,39,-17,3,31,32,48,29,True
29,GRAVITY_AWAY_DOG,1,15,56,22,27,-20,56,31,29,51,True
30,GRAVITY_HOME_DOG,15,6,22,47,-21,15,31,39,52,24,True
30,CRUSHER_AWAY_FAV,13,1,28,59,-11,28,20,57,31,29,True
8,GRAVITY_AWAY_DOG,6,13,11,7,4,-3,14,8,10,11,True
9,GRAVITY_HOME_DOG,15,6,7,14,-4,2,8,14,12,12,False
10,GRAVITY_AWAY_DOG,9,13,11,8,-2,-5,10,8,12,13,True
11,GRAVITY_HOME_DOG,13,3,8,18,-6,6,9,18,15,12,True
12,GRAVITY_AWAY_DOG,4,13,20,8,3,-8,18,9,15,17,True
13,GRAVITY_HOME_DOG,15,13,7,11,-5,-10,6,11,11,21,False
23,GRAVITY_HOME_DOG,16,12,15,25,-9,-8,13,27,22,35,True
24,GRAVITY_AWAY_DOG,9,16,31,15,5,-11,32,13,27,24,True
25,GRAVITY_HOME_DOG,16,2,15,46,-12,19,13,44,25,25,True
30,GRAVITY_AWAY_DOG,14,13,30,30,-13,-12,25,33,38,45,True
8,GRAVITY_HOME_DOG,15,6,3,10,-11,1,8,8,19,7,True
9,GRAVITY_AWAY_DOG,5,15,13,3,11,-14,21,8,10,22,True
10,GRAVITY_HOME_DOG,15,12,3,10,-17,-4,9,9,26,13,True
11,GRAVITY_AWAY_DOG,14,15,7,3,-5,-23,5,9,10,32,False
12,GRAVITY_AWAY_DOG,13,14,11,7,-7,-6,13,5,20,11,True
13,GRAVITY_HOME_DOG,15,11,7,15,-9,0,5,13,14,13,True
14,GRAVITY_AWAY_DOG,4,15,22,7,15,-10,32,6,17,16,True
15,GRAVITY_HOME_DOG,15,7,7,20,-11,2,6,21,17,19,True
28,GRAVITY_HOME_DOG,13,16,25,18,-12,-27,26,20,38,47,True
30,GRAVITY_HOME_DOG,13,5,25,49,-17,10,26,45,43,35,True
7,CRUSHER_AWAY_FAV,13,1,6,16,-4,6,7,6,11,0,False
11,GRAVITY_HOME_DOG,14,16,7,3,-10,-15,6,2,16,17,True
15,GRAVITY_HOME_DOG,13,7,13,21,-4,4,15,11,19,7,True
16,GRAVITY_HOME_DOG,16,13,4,13,-25,-5,4,16,29,21,False
17,GRAVITY_HOME_DOG,13,12,13,15,-6,-10,16,18,22,28,True
18,GRAVITY_AWAY_DOG,15,13,12,13,-19,-7,16,17,35,24,True
19,GRAVITY_HOME_DOG,14,5,13,32,-8,11,18,27,26,16,True
28,GRAVITY_AWAY_DOG,4,13,47,25,11,-21,46,27,35,48,True
29,GRAVITY_HOME_DOG,13,10,25,38,-24,-14,27,34,51,48,True
29,GRAVITY_HOME_DOG,15,4,17,49,-29,18,22,44,51,26,True
7,GRAVITY_HOME_DOG,15,1,4,16,-6,8,4,13,10,5,False
17,GRAVITY_AWAY_DOG,14,16,13,11,-10,-13,18,14,28,27,True
25,GRAVITY_HOME_DOG,15,10,23,28,-9,-6,30,24,39,30,False
13,GRAVITY_HOME_DOG,16,6,8,19,-9,7,9,22,18,15,False
26,GRAVITY_AWAY_DOG,3,14,49,21,17,-17,42,21,25,38,False
23,GRAVITY_AWAY_DOG,15,13,17,22,-14,-9,17,27,31,36,True
27,GRAVITY_AWAY_DOG,3,15,46,22,16,-20,50,22,34,42,True
28,GRAVITY_HOME_DOG,15,10,22,33,-21,-8,22,38,43,46,False
9,CRUSHER_AWAY_FAV,16,1,5,16,-5,7,5,10,10,3,False
13,CRUSHER_AWAY_FAV,14,3,12,22,-6,4,9,15,15,11,False
14,GRAVITY_HOME_DOG,13,11,15,15,-9,-5,16,11,25,16,True
15,GRAVITY_AWAY_DOG,6,14,22,14,6,2,22,25,16,23,True
15,GRAVITY_AWAY_DOG,12,13,15,15,-9,-10,13,18,22,28,True
16,GRAVITY_HOME_DOG,14,1,14,29,-1,15,25,29,26,14,True
17,GRAVITY_AWAY_DOG,5,15,29,14,6,-3,19,26,13,29,True
22,GRAVITY_AWAY_DOG,4,15,37,18,8,-15,25,17,17,32,True
23,GRAVITY_HOME_DOG,16,14,14,22,-30,-13,16,18,46,31,True
29,GRAVITY_AWAY_DOG,1,15,56,20,24,-21,53,23,29,44,True
29,CRUSHER_AWAY_FAV,16,2,16,52,-36,19,19,36,55,17,True
30,GRAVITY_AWAY_DOG,10,16,38,16,-7,-37,36,20,43,57,True
15,GRAVITY_AWAY_DOG,10,14,14,13,0,-11,19,15,19,26,False
18,GRAVITY_AWAY_DOG,11,13,18,16,-12,-11,13,15,25,26,False
28,GRAVITY_HOME_DOG,14,1,26,54,-14,29,28,62,42,33,True
30,GRAVITY_HOME_DOG,16,10,21,35,-23,-7,18,21,41,28,True
12,GRAVITY_AWAY_DOG,6,15,18,8,3,-9,17,9,14,18,True
13,GRAVITY_HOME_DOG,15,16,8,6,-12,-12,9,9,21,21,True
14,GRAVITY_AWAY_DOG,7,16,20,8,3,-13,14,10,11,23,False
26,GRAVITY_AWAY_DOG,3,16,45,21,15,-12,37,17,22,29,True
26,GRAVITY_AWAY_DOG,12,14,29,22,-2,-15,28,23,30,38,True
27,GRAVITY_HOME_DOG,16,1,21,59,-14,42,18,66,32,24,True
10,GRAVITY_HOME_DOG,15,2,6,19,-8,12,8,15,16,3,True
11,GRAVITY_AWAY_DOG,14,15,7,6,-14,-9,4,8,18,17,False
13,GRAVITY_HOME_DOG,16,7,7,19,-17,3,4,17,21,14,True
14,GRAVITY_AWAY_DOG,3,16,23,7,13,-18,27,5,14,23,True
15,GRAVITY_HOME_DOG,16,11,7,17,-21,-4,6,13,27,17,False
25,GRAVITY_AWAY_DOG,4,16,41,15,15,-21,34,15,19,36,False
29,GRAVITY_HOME_DOG,16,7,19,43,-28,3,19,36,47,33,True
30,GRAVITY_AWAY_DOG,3,16,52,19,21,-29,55,19,34,48,True
30,GRAVITY_AWAY_DOG,13,14,28,26,-15,-30,32,23,47,53,True
7,GRAVITY_HOME_DOG,15,13,3,6,-8,-2,3,4,11,6,False
8,GRAVITY_AWAY_DOG,12,16,7,2,-7,-14,6,4,13,18,True
14,GRAVITY_HOME_DOG,16,14,4,14,-22,-11,7,12,29,23,True
15,GRAVITY_AWAY_DOG,7,16,22,4,-8,-23,16,8,24,31,True
16,GRAVITY_AWAY_DOG,10,16,19,4,-1,-24,23,10,24,34,True
16,GRAVITY_AWAY_DOG,14,15,15,9,-4,-16,15,13,19,29,True
17,GRAVITY_HOME_DOG,15,11,9,19,-19,-4,13,21,32,25,False
17,GRAVITY_HOME_DOG,16,6,4,27,-26,10,10,37,36,27,False
21,GRAVITY_AWAY_DOG,2,14,37,19,10,-11,23,21,13,32,True
25,GRAVITY_HOME_DOG,13,11,26,27,-10,-9,35,28,45,37,False
7,GRAVITY_HOME_DOG,14,9,6,8,-4,5,7,9,11,4,True
7,GRAVITY_HOME_DOG,16,7,1,9,-12,2,3,7,15,5,True
8,GRAVITY_AWAY_DOG,14,15,7,6,-2,-7,6,7,8,14,True
8,GRAVITY_AWAY_DOG,13,16,8,1,-1,-13,8,3,9,16,True
9,GRAVITY_HOME_DOG,16,6,1,12,-14,2,3,10,17,8,True
10,GRAVITY_AWAY_DOG,13,16,10,1,0,-16,13,3,13,19,True
11,GRAVITY_HOME_DOG,16,7,1,15,-17,8,3,18,20,10,True
11,GRAVITY_AWAY_DOG,4,13,18,11,5,-4,17,8,12,12,True
19,GRAVITY_HOME_DOG,13,9,18,27,-9,12,16,27,25,15,True
11,GRAVITY_HOME_DOG,15,6,6,16,-12,6,7,10,19,4,True
12,GRAVITY_AWAY_DOG,2,15,23,6,9,-14,21,7,12,21,True
13,GRAVITY_HOME_DOG,15,4,6,23,-16,8,7,23,23,15,False
14,GRAVITY_HOME_DOG,16,15,4,9,-15,-15,4,9,19,24,True
15,GRAVITY_AWAY_DOG,12,16,16,4,-3,-17,15,4,18,21,True
16,GRAVITY_AWAY_DOG,1,16,34,4,19,-18,33,4,14,22,True
20,GRAVITY_HOME_DOG,16,10,16,22,-13,-6,12,21,25,27,True
21,GRAVITY_AWAY_DOG,12,16,22,16,-11,-14,21,12,32,26,False
25,GRAVITY_HOME_DOG,16,4,22,42,-20,13,23,43,43,30,False
6,GRAVITY_AWAY_DOG,10,16,7,1,-1,-8,5,3,6,11,True
7,GRAVITY_AWAY_DOG,11,16,9,1,-3,-9,11,3,14,12,True
16,GRAVITY_AWAY_DOG,2,15,28,11,10,-14,24,11,14,25,False
22,GRAVITY_HOME_DOG,16,5,15,36,-19,11,14,40,33,29,False
28,GRAVITY_AWAY_DOG,16,15,20,20,-24,-21,19,18,43,39,False
29,GRAVITY_HOME_DOG,15,11,23,32,-31,-6,24,20,55,26,True
10,GRAVITY_AWAY_DOG,7,13,14,6,2,-7,10,9,8,16,True
11,GRAVITY_HOME_DOG,14,8,6,16,-8,3,11,15,19,12,True
12,GRAVITY_AWAY_DOG,11,15,11,6,-2,-10,11,12,13,22,False
15,GRAVITY_AWAY_DOG,4,13,29,11,17,-13,24,16,7,29,True
10,GRAVITY_AWAY_DOG,12,13,8,7,-3,-6,9,8,12,14,True
11,GRAVITY_HOME_DOG,15,8,7,17,-7,0,8,12,15,12,True
16,GRAVITY_HOME_DOG,16,3,9,29,-17,10,15,31,32,21,True
17,GRAVITY_AWAY_DOG,11,16,19,9,-5,-18,14,15,19,33,True
18,GRAVITY_HOME_DOG,16,9,9,24,-19,-3,15,20,34,23,True
19,GRAVITY_AWAY_DOG,2,16,37,9,16,-20,34,15,18,35,True
20,GRAVITY_HOME_DOG,16,14,9,16,-24,-13,15,13,39,26,True
21,GRAVITY_AWAY_DOG,15,16,15,9,-16,-25,13,16,29,41,True
22,GRAVITY_HOME_DOG,16,11,9,25,-28,-4,16,23,44,27,False
6,GRAVITY_HOME_DOG,13,10,3,7,-6,-3,4,8,10,11,False
6,GRAVITY_HOME_DOG,16,9,3,7,-10,-2,2,4,12,6,True
7,GRAVITY_AWAY_DOG,11,16,7,3,-6,-11,8,3,14,14,True
8,GRAVITY_HOME_DOG,16,15,3,4,-16,-10,3,1,19,11,False
9,GRAVITY_AWAY_DOG,11,14,9,6,-1,-8,11,6,12,14,True
10,GRAVITY_HOME_DOG,14,10,6,13,-10,-1,6,9,16,10,True
11,GRAVITY_AWAY_DOG,7,15,14,6,-2,-11,17,6,19,17,True
12,GRAVITY_HOME_DOG,15,16,6,5,-16,-13,6,3,22,16,False
17,GRAVITY_HOME_DOG,16,13,9,19,-25,-12,9,15,34,27,False
21,GRAVITY_AWAY_DOG,5,14,35,19,7,-18,30,16,23,34,True
26,GRAVITY_AWAY_DOG,4,16,47,17,8,-28,45,11,37,39,True
27,GRAVITY_HOME_DOG,16,15,17,18,-30,-31,12,14,42,45,True
27,GRAVITY_AWAY_DOG,11,13,35,26,5,-14,48,23,43,37,True
28,GRAVITY_AWAY_DOG,13,16,27,17,-14,-33,25,12,39,45,True
29,GRAVITY_HOME_DOG,14,12,24,34,-27,-13,19,25,46,38,True
30,GRAVITY_AWAY_DOG,4,14,53,24,19,-29,38,19,19,48,True
8,GRAVITY_AWAY_DOG,12,15,7,5,-2,-6,11,3,13,9,True
8,GRAVITY_HOME_DOG,16,2,4,14,-9,5,9,10,18,5,True
9,GRAVITY_HOME_DOG,15,5,5,14,-7,6,3,16,10,10,True
10,GRAVITY_AWAY_DOG,11,15,10,5,-13,-9,6,3,19,12,True
13,GRAVITY_HOME_DOG,14,5,10,20,-9,-1,14,16,23,17,True
19,GRAVITY_AWAY_DOG,15,14,13,15,-13,-22,21,10,34,32,True
20,GRAVITY_HOME_DOG,15,10,15,22,-26,0,10,18,36,18,True
25,GRAVITY_AWAY_DOG,4,15,42,20,11,-20,37,22,26,42,True
26,GRAVITY_AWAY_DOG,5,16,42,20,4,-24,31,23,27,47,False
28,GRAVITY_AWAY_DOG,6,13,42,27,0,-16,32,29,32,45,True
29,GRAVITY_HOME_DOG,13,3,27,50,-21,22,29,51,50,29,False
7,GRAVITY_HOME_DOG,16,1,1,13,-9,8,2,12,11,4,True
8,GRAVITY_AWAY_DOG,11,16,6,1,-4,-10,8,3,12,13,False
11,GRAVITY_AWAY_DOG,16,15,5,6,-13,-15,9,7,22,22,False
12,GRAVITY_AWAY_DOG,2,16,23,5,10,-15,17,10,7,25,True
17,GRAVITY_HOME_DOG,15,8,10,24,-23,7,11,22,34,15,True
18,GRAVITY_AWAY_DOG,2,16,35,10,17,-24,35,11,18,35,True
19,GRAVITY_HOME_DOG,16,12,10,21,-26,-8,11,17,37,25,True
20,GRAVITY_HOME_DOG,16,6,10,31,-28,9,11,29,39,20,True
21,GRAVITY_AWAY_DOG,15,16,13,10,-23,-29,9,13,32,42,False
22,CRUSHER_HOME_FAV,4,15,37,13,14,-24,36,9,22,33,True
23,GRAVITY_HOME_DOG,14,2,13,42,-23,14,17,36,40,22,False
23,GRAVITY_HOME_DOG,15,11,13,25,-25,-12,9,22,34,34,False
28,GRAVITY_AWAY_DOG,8,13,41,24,10,-15,36,20,26,35,True
29,GRAVITY_HOME_DOG,13,4,24,47,-20,17,20,50,40,33,True
30,GRAVITY_AWAY_DOG,15,13,22,24,-33,-25,20,20,53,45,True
17,GRAVITY_AWAY_DOG,11,13,18,12,0,-14,15,16,15,30,True
17,CRUSHER_AWAY_FAV,16,3,10,31,-23,21,14,36,37,15,False
22,GRAVITY_HOME_DOG,16,1,11,45,-28,28,16,44,44,16,False
23,GRAVITY_HOME_DOG,16,3,12,43,-23,24,11,45,34,21,True
7,GRAVITY_AWAY_DOG,3,13,12,6,5,-5,8,7,3,12,True
9,GRAVITY_AWAY_DOG,8,16,11,1,2,-15,14,2,12,17,True
10,GRAVITY_HOME_DOG,16,1,1,20,-16,8,2,14,18,6,True
13,GRAVITY_HOME_DOG,15,2,4,26,-18,12,7,24,25,12,True
14,GRAVITY_AWAY_DOG,7,16,22,4,7,-20,21,7,14,27,False
28,GRAVITY_HOME_DOG,13,4,26,45,-17,17,24,53,41,36,True
18,GRAVITY_AWAY_DOG,5,16,26,11,6,-21,31,10,25,31,True
19,GRAVITY_HOME_DOG,16,12,11,21,-22,-2,10,22,32,24,True
21,GRAVITY_HOME_DOG,14,8,18,27,-15,8,23,28,38,20,False
23,GRAVITY_HOME_DOG,15,6,20,33,-21,7,15,43,36,36,False
26,GRAVITY_HOME_DOG,16,7,13,34,-33,-5,13,33,46,38,True
27,GRAVITY_AWAY_DOG,8,16,36,13,2,-34,28,13,26,47,True
28,GRAVITY_HOME_DOG,16,13,13,32,-35,-16,14,32,49,48,True
29,GRAVITY_AWAY_DOG,5,16,44,13,7,-37,42,14,35,51,True
29,GRAVITY_AWAY_DOG,14,15,30,27,-23,-16,21,34,44,50,True
30,GRAVITY_HOME_DOG,15,11,27,36,-17,1,34,40,51,39,False
30,GRAVITY_HOME_DOG,16,13,13,33,-40,-22,14,22,54,44,True
8,GRAVITY_AWAY_DOG,12,15,7,3,-2,-8,9,5,11,13,False
10,GRAVITY_HOME_DOG,13,4,7,18,-4,10,9,15,13,5,True
11,GRAVITY_AWAY_DOG,4,13,19,7,4,-5,15,10,11,15,False
13,GRAVITY_AWAY_DOG,15,16,7,5,-13,-13,7,8,20,21,True
14,GRAVITY_HOME_DOG,16,4,5,24,-14,13,8,26,22,13,False
16,GRAVITY_HOME_DOG,13,6,12,25,-18,6,19,27,37,21,False
17,GRAVITY_HOME_DOG,15,12,11,15,-11,-15,13,22,24,37,False
23,GRAVITY_HOME_DOG,13,12,21,23,-14,-7,22,20,36,27,True
24,GRAVITY_AWAY_DOG,16,14,14,21,-23,-16,16,23,39,39,True
28,CRUSHER_AWAY_FAV,14,1,23,54,-18,19,22,42,40,23,False
28,GRAVITY_AWAY_DOG,16,15,16,17,-25,-25,19,16,44,41,True
29,GRAVITY_HOME_DOG,16,13,17,29,-28,-11,16,21,44,32,True
30,GRAVITY_AWAY_DOG,14,16,24,17,-21,-29,22,16,43,45,False
8,GRAVITY_HOME_DOG,13,5,7,10,-3,2,9,10,12,8,True
9,GRAVITY_AWAY_DOG,5,15,13,4,5,-11,14,5,9,16,True
9,GRAVITY_AWAY_DOG,8,14,10,7,-3,-6,10,10,13,16,True
10,GRAVITY_HOME_DOG,14,9,7,12,-7,0,11,9,18,9,True
11,GRAVITY_HOME_DOG,14,9,7,13,-8,0,11,14,19,14,True
12,GRAVITY_AWAY_DOG,15,14,6,7,-13,-10,6,11,19,21,False
12,GRAVITY_HOME_DOG,16,1,3,28,-16,23,5,31,21,8,True
13,GRAVITY_AWAY_DOG,5,16,20,3,0,-17,16,6,16,23,True
14,GRAVITY_HOME_DOG,16,9,3,16,-18,3,6,19,24,16,True
15,GRAVITY_AWAY_DOG,15,14,7,12,-16,-6,8,12,24,18,True
16,GRAVITY_AWAY_DOG,3,14,29,12,12,-9,31,12,19,21,True
17,GRAVITY_HOME_DOG,15,10,12,18,-12,-4,12,21,24,25,True
18,GRAVITY_HOME_DOG,15,13,12,14,-13,-13,13,21,26,34,False
29,GRAVITY_AWAY_DOG,8,14,40,25,1,-12,42,42,41,54,False
6,GRAVITY_AWAY_DOG,4,15,9,3,2,-9,11,5,9,14,True
7,GRAVITY_HOME_DOG,16,9,3,8,-11,-1,5,5,16,6,True
8,GRAVITY_AWAY_DOG,9,14,9,6,-1,-9,5,7,6,16,True
11,GRAVITY_HOME_DOG,16,14,6,8,-9,-8,6,4,15,12,False
20,GRAVITY_AWAY_DOG,2,14,37,20,18,-15,35,18,17,33,False
24,GRAVITY_AWAY_DOG,3,15,42,20,18,-15,43,22,25,37,True
28,GRAVITY_AWAY_DOG,12,15,30,23,-16,-21,22,23,38,44,True
29,GRAVITY_HOME_DOG,16,4,23,48,-22,12,23,41,45,29,True
30,GRAVITY_HOME_DOG,16,11,23,34,-24,-18,23,27,47,45,False
6,GRAVITY_AWAY_DOG,10,15,6,3,-4,-5,5,6,9,11,True
7,GRAVITY_HOME_DOG,16,4,3,12,-6,5,6,11,12,6,True
8,GRAVITY_AWAY_DOG,15,16,3,3,-6,-8,2,7,8,15,False
10,GRAVITY_HOME_DOG,16,9,3,12,-9,0,3,12,12,12,True
11,GRAVITY_AWAY_DOG,12,16,9,3,-1,-11,11,3,12,14,True
27,GRAVITY_AWAY_DOG,11,16,31,16,-5,-26,35,18,40,44,True
28,GRAVITY_HOME_DOG,16,2,16,55,-29,16,19,44,48,28,True
28,GRAVITY_HOME_DOG,14,5,26,49,-10,20,26,43,36,23,False
28,GRAVITY_HOME_DOG,13,3,27,52,-15,15,35,44,50,29,True
29,GRAVITY_AWAY_DOG,5,16,49,16,19,-30,43,19,24,49,False
9,GRAVITY_AWAY_DOG,16,15,3,4,-8,-9,7,3,15,12,True
12,GRAVITY_HOME_DOG,16,13,6,10,-13,-3,7,11,20,14,False
15,GRAVITY_HOME_DOG,16,13,8,14,-17,-6,10,11,27,17,True
16,GRAVITY_HOME_DOG,16,9,8,21,-14,2,14,25,28,23,False
22,GRAVITY_AWAY_DOG,12,14,20,20,-7,-16,18,27,25,43,False
25,GRAVITY_HOME_DOG,16,7,16,37,-20,11,23,36,43,25,True
26,GRAVITY_AWAY_DOG,12,16,27,16,-9,-21,28,24,37,45,False
27,GRAVITY_AWAY_DOG,12,13,27,27,-8,-11,23,28,31,39,True
28,GRAVITY_HOME_DOG,13,10,27,31,-12,-11,29,37,41,48,True
29,GRAVITY_AWAY_DOG,9,13,41,27,4,-13,39,29,35,42,True
30,GRAVITY_HOME_DOG,13,8,27,44,-16,10,29,40,45,30,True
9,CRUSHER_AWAY_FAV,16,4,2,14,-14,6,4,9,18,3,True
10,GRAVITY_AWAY_DOG,1,16,21,2,13,-15,17,4,4,19,True
14,GRAVITY_AWAY_DOG,12,14,14,12,-9,-18,11,10,20,28,True
20,GRAVITY_AWAY_DOG,15,14,14,15,-19,-18,22,16,41,34,False
20,GRAVITY_AWAY_DOG,1,16,42,6,18,-25,38,12,20,37,True
21,GRAVITY_HOME_DOG,16,3,6,38,-27,10,12,33,39,23,True
22,GRAVITY_AWAY_DOG,7,16,35,6,6,-28,28,13,22,41,True
23,GRAVITY_HOME_DOG,16,15,6,15,-29,-22,13,24,42,46,True
25,GRAVITY_HOME_DOG,13,5,21,42,-27,16,17,29,44,13,False
7,GRAVITY_AWAY_DOG,4,16,11,3,4,-8,8,6,4,14,True
7,GRAVITY_HOME_DOG,13,15,6,5,-4,-7,6,2,10,9,True
11,GRAVITY_HOME_DOG,15,5,10,16,-4,2,9,14,13,12,True
12,GRAVITY_AWAY_DOG,8,16,15,7,5,-13,17,7,12,20,False
17,GRAVITY_HOME_DOG,16,7,15,22,-14,4,11,24,25,20,True
18,GRAVITY_HOME_DOG,16,11,15,20,-16,-3,13,20,29,23,True
30,GRAVITY_AWAY_DOG,13,14,31,28,-9,-15,30,31,39,46,True
12,GRAVITY_HOME_DOG,16,3,5,21,-13,12,10,23,23,11,True
13,GRAVITY_AWAY_DOG,14,16,10,5,-9,-14,10,10,19,24,True
14,GRAVITY_HOME_DOG,16,12,5,14,-15,-10,11,18,26,28,True
18,GRAVITY_HOME_DOG,15,3,13,34,-17,13,13,29,30,16,True
19,GRAVITY_AWAY_DOG,13,15,19,13,-13,-19,17,13,30,32,False
26,CRUSHER_HOME_FAV,1,14,53,23,22,-30,44,20,22,50,False
9,GRAVITY_HOME_DOG,16,4,4,17,-12,7,3,14,15,7,True
9,GRAVITY_AWAY_DOG,6,14,13,5,7,-10,16,6,9,16,True
9,GRAVITY_HOME_DOG,13,11,5,7,-10,-7,7,7,17,14,False
10,GRAVITY_HOME_DOG,14,16,5,4,-11,-13,6,3,17,16,False
11,GRAVITY_AWAY_DOG,2,13,26,7,19,-9,23,7,4,16,True
11,GRAVITY_AWAY_DOG,15,16,5,4,-10,-14,7,3,17,17,False
12,GRAVITY_HOME_DOG,15,5,7,19,-11,11,8,21,19,10,False
25,GRAVITY_AWAY_DOG,12,16,23,16,-13,-20,19,18,32,38,True
25,CRUSHER_AWAY_FAV,15,1,17,54,-25,23,21,45,46,22,True
26,GRAVITY_HOME_DOG,16,6,16,42,-22,15,18,36,40,21,True
26,GRAVITY_AWAY_DOG,11,15,26,17,-11,-26,21,23,32,49,True
27,GRAVITY_HOME_DOG,15,16,17,16,-27,-25,24,18,51,43,True
28,GRAVITY_HOME_DOG,16,11,17,27,-28,-11,24,29,52,40,False
7,GRAVITY_HOME_DOG,14,13,3,4,-3,-7,7,6,10,13,True
13,GRAVITY_HOME_DOG,16,13,6,9,-14,-11,6,10,20,21,True
14,GRAVITY_AWAY_DOG,6,16,24,6,14,-15,25,7,11,22,True
15,GRAVITY_HOME_DOG,16,1,6,33,-17,17,8,27,25,10,False
27,GRAVITY_AWAY_DOG,7,16,40,21,5,-27,39,21,34,48,True
28,GRAVITY_HOME_DOG,16,15,21,22,-29,-16,22,20,51,36,True
14,GRAVITY_HOME_DOG,16,2,10,24,-13,9,9,24,22,15,True
15,GRAVITY_AWAY_DOG,15,16,11,10,-9,-16,14,9,23,25,True
19,CRUSHER_AWAY_FAV,16,1,12,36,-12,19,16,34,28,15,False
19,GRAVITY_AWAY_DOG,11,14,20,14,-8,-13,11,23,19,36,True
20,GRAVITY_HOME_DOG,16,10,14,25,-14,-4,24,18,38,22,False
6,GRAVITY_HOME_DOG,14,11,3,5,-4,-5,7,2,11,7,True
9,GRAVITY_AWAY_DOG,10,13,10,8,-3,-3,8,8,11,11,False
11,GRAVITY_HOME_DOG,15,10,5,12,-14,-3,6,12,20,15,False
13,GRAVITY_HOME_DOG,14,9,10,18,-12,3,9,20,21,17,True
14,GRAVITY_AWAY_DOG,10,14,15,10,-3,-14,16,9,19,23,True
14,GRAVITY_HOME_DOG,13,9,11,21,-7,0,12,18,19,18,True
15,GRAVITY_AWAY_DOG,2,15,29,10,13,-16,26,9,13,25,True
16,GRAVITY_AWAY_DOG,6,15,26,10,9,-18,23,10,14,28,True
17,GRAVITY_HOME_DOG,15,16,10,7,-19,-18,12,11,31,29,True
18,GRAVITY_AWAY_DOG,8,16,27,10,8,-20,25,13,17,33,True
23,GRAVITY_HOME_DOG,16,13,13,17,-20,-20,20,17,40,37,False
25,GRAVITY_AWAY_DOG,10,14,30,17,-8,-22,28,17,36,39,True
26,GRAVITY_AWAY_DOG,8,14,37,17,4,-24,37,19,33,43,True
27,GRAVITY_HOME_DOG,15,5,17,45,-27,13,19,35,46,22,True
28,GRAVITY_AWAY_DOG,9,16,37,17,4,-30,41,19,37,49,True
