matchday,trap_type,h_rank,a_rank,h_points,a_points,h_gd,a_gd,h_gs,a_gs,h_gc,a_gc,won
7,GRAVITY_AWAY_DOG,14,13,3,3,-5,-2,4,7,9,9,False
10,GRAVITY_HOME_DOG,15,16,5,5,-7,-9,10,9,17,18,True
17,GRAVITY_HOME_DOG,15,2,14,34,-13,14,13,28,26,14,True
18,GRAVITY_AWAY_DOG,13,16,16,14,-11,-14,17,13,28,27,True
19,GRAVITY_HOME_DOG,16,2,14,38,-15,16,13,32,28,16,True
20,GRAVITY_HOME_DOG,16,10,14,22,-18,-12,13,20,31,32,False
25,GRAVITY_HOME_DOG,14,10,20,28,-19,-4,27,36,46,40,True
26,GRAVITY_AWAY_DOG,1,16,57,20,26,-20,45,28,19,48,True
27,GRAVITY_HOME_DOG,16,13,20,26,-25,-12,28,26,53,38,False
29,GRAVITY_AWAY_DOG,6,14,40,26,9,-14,46,27,37,41,True
30,GRAVITY_HOME_DOG,13,12,26,32,-15,-11,28,41,43,52,True
6,CRUSHER_HOME_FAV,1,15,13,1,10,-5,13,6,3,11,True
7,GRAVITY_HOME_DOG,16,12,1,5,-7,-8,6,5,13,13,True
8,GRAVITY_AWAY_DOG,14,16,4,1,-6,-8,4,6,10,14,True
9,GRAVITY_HOME_DOG,16,14,1,5,-10,-8,7,5,17,13,True
10,GRAVITY_AWAY_DOG,11,13,11,6,-7,-3,8,11,15,14,True
11,GRAVITY_HOME_DOG,13,12,6,10,-4,-4,12,8,16,12,False
12,GRAVITY_AWAY_DOG,16,15,3,3,-11,-9,10,7,21,16,False
17,GRAVITY_HOME_DOG,16,8,6,24,-17,-1,10,22,27,23,True
21,GRAVITY_HOME_DOG,15,8,13,28,-18,-3,14,22,32,25,False
29,CRUSHER_HOME_FAV,4,14,48,25,18,-13,44,30,26,43,False
19,GRAVITY_HOME_DOG,16,14,12,17,-14,-8,16,22,30,30,False
23,GRAVITY_HOME_DOG,16,5,13,36,-21,16,20,39,41,23,True
7,GRAVITY_HOME_DOG,16,11,1,7,-8,1,1,5,9,4,False
16,GRAVITY_AWAY_DOG,11,14,17,11,-3,-13,15,12,18,25,True
17,GRAVITY_HOME_DOG,15,4,11,28,-16,14,13,33,29,19,True
18,GRAVITY_AWAY_DOG,5,16,30,11,3,-18,26,13,23,31,True
19,GRAVITY_HOME_DOG,16,15,11,11,-21,-9,14,14,35,23,True
20,GRAVITY_AWAY_DOG,6,16,31,11,5,-22,35,15,30,37,True
21,GRAVITY_HOME_DOG,16,11,11,23,-23,-4,18,26,41,30,True
22,GRAVITY_AWAY_DOG,13,16,19,11,-13,-24,19,20,32,44,True
23,GRAVITY_HOME_DOG,16,10,11,29,-27,-5,20,23,47,28,False
25,GRAVITY_AWAY_DOG,10,15,30,15,-2,-17,33,18,35,35,True
6,GRAVITY_AWAY_DOG,13,16,4,1,-2,-7,7,5,9,12,True
7,GRAVITY_HOME_DOG,16,7,1,8,-9,4,5,10,14,6,False
15,GRAVITY_AWAY_DOG,5,14,23,11,7,-7,25,11,18,18,True
16,GRAVITY_AWAY_DOG,2,15,29,11,9,-9,28,12,19,21,True
16,GRAVITY_AWAY_DOG,6,14,25,12,0,-18,24,11,24,29,True
17,GRAVITY_HOME_DOG,15,11,11,20,-11,2,13,23,24,21,True
18,GRAVITY_AWAY_DOG,16,15,10,11,-13,-14,12,14,25,28,True
19,GRAVITY_HOME_DOG,16,13,11,14,-16,-11,15,17,31,28,False
20,GRAVITY_HOME_DOG,13,7,14,28,-13,-1,17,21,30,22,True
26,GRAVITY_AWAY_DOG,7,14,37,19,1,-22,30,18,29,40,True
27,GRAVITY_HOME_DOG,15,11,19,33,-25,-8,18,37,43,45,False
9,GRAVITY_HOME_DOG,15,10,6,9,-9,2,5,9,14,7,False
14,GRAVITY_AWAY_DOG,16,15,5,7,-13,-14,8,9,21,23,True
19,GRAVITY_HOME_DOG,16,14,8,15,-22,-18,11,13,33,31,False
20,GRAVITY_HOME_DOG,14,13,15,18,-20,-14,13,18,33,32,True
24,GRAVITY_AWAY_DOG,5,16,40,11,15,-25,40,18,25,43,True
25,GRAVITY_HOME_DOG,16,5,11,43,-28,7,18,31,46,24,True
8,GRAVITY_AWAY_DOG,6,13,12,6,3,-3,10,8,7,11,True
9,GRAVITY_HOME_DOG,14,15,6,6,-4,-5,9,2,13,7,False
12,GRAVITY_HOME_DOG,16,15,6,7,-12,-8,5,7,17,15,False
13,GRAVITY_HOME_DOG,13,3,10,24,-11,6,10,16,21,10,True
14,GRAVITY_AWAY_DOG,9,13,18,10,-2,-13,19,10,21,23,True
15,GRAVITY_HOME_DOG,15,13,10,10,-15,-12,11,9,26,21,True
15,GRAVITY_HOME_DOG,14,10,10,18,-15,-2,10,16,25,18,True
20,GRAVITY_HOME_DOG,16,8,11,28,-23,4,12,27,35,23,True
25,CRUSHER_HOME_FAV,1,16,54,16,30,-20,52,14,22,34,True
26,GRAVITY_HOME_DOG,16,6,16,40,-23,10,14,35,37,25,True
27,GRAVITY_HOME_DOG,15,16,17,16,-20,-25,19,14,39,39,True
28,GRAVITY_AWAY_DOG,5,16,47,17,7,-21,41,19,34,40,True
29,GRAVITY_HOME_DOG,16,12,17,32,-24,-17,20,28,44,45,True
30,GRAVITY_AWAY_DOG,10,16,35,17,-4,-26,43,20,47,46,True
6,GRAVITY_AWAY_DOG,6,16,8,1,0,-8,5,2,5,10,True
7,GRAVITY_HOME_DOG,16,14,1,5,-9,-4,2,6,11,10,True
7,GRAVITY_HOME_DOG,15,5,4,11,-8,1,4,6,12,5,True
8,GRAVITY_AWAY_DOG,1,14,17,6,12,-9,17,8,5,17,True
23,GRAVITY_HOME_DOG,16,11,11,20,-26,-11,12,26,38,37,True
23,GRAVITY_HOME_DOG,15,8,16,34,-22,8,21,33,43,25,False
26,GRAVITY_HOME_DOG,16,12,17,23,-18,-19,16,19,34,38,True
27,GRAVITY_AWAY_DOG,5,16,45,17,15,-19,37,16,22,35,False
14,GRAVITY_HOME_DOG,13,16,11,8,-13,-10,10,16,23,26,True
15,GRAVITY_AWAY_DOG,8,15,22,11,7,-14,25,10,18,24,True
21,GRAVITY_HOME_DOG,16,11,13,23,-22,-11,14,19,36,30,True
22,GRAVITY_AWAY_DOG,4,16,40,13,13,-23,31,15,18,38,True
22,GRAVITY_HOME_DOG,15,14,16,18,-16,-10,17,26,33,36,False
23,GRAVITY_HOME_DOG,15,10,18,26,-11,-9,27,29,38,38,False
8,CRUSHER_AWAY_FAV,15,2,4,18,-7,8,4,10,11,2,False
15,GRAVITY_HOME_DOG,13,16,13,11,-10,-16,14,8,24,24,False
16,GRAVITY_AWAY_DOG,10,16,17,11,0,-18,20,9,20,27,True
17,GRAVITY_HOME_DOG,16,7,11,21,-19,-3,9,15,28,18,True
23,GRAVITY_HOME_DOG,13,12,24,24,-15,-7,21,22,36,29,True
9,GRAVITY_HOME_DOG,15,7,7,12,-3,-2,10,7,13,9,False
14,GRAVITY_HOME_DOG,13,3,12,25,-6,12,10,22,16,10,True
15,GRAVITY_HOME_DOG,16,3,8,28,-8,13,12,26,20,13,True
15,GRAVITY_AWAY_DOG,12,13,14,12,-5,-7,15,13,20,20,True
15,GRAVITY_AWAY_DOG,6,15,25,10,2,-21,19,10,17,31,True
16,GRAVITY_AWAY_DOG,7,15,24,10,5,-23,15,11,10,34,True
16,GRAVITY_AWAY_DOG,13,16,13,8,-7,-10,13,12,20,22,True
17,GRAVITY_HOME_DOG,15,10,10,18,-24,-4,13,18,37,22,True
19,GRAVITY_HOME_DOG,14,11,12,20,-19,-5,22,24,41,29,False
21,GRAVITY_AWAY_DOG,14,15,15,14,-19,-15,24,17,43,32,True
25,CRUSHER_HOME_FAV,2,16,55,16,29,-28,48,25,19,53,True
26,GRAVITY_HOME_DOG,16,15,16,18,-29,-13,26,30,55,43,True
6,GRAVITY_AWAY_DOG,11,16,6,1,-3,-6,6,2,9,8,False
7,GRAVITY_HOME_DOG,16,14,2,4,-9,-5,3,5,12,10,True
8,GRAVITY_AWAY_DOG,9,16,9,2,-1,-12,11,3,12,15,True
9,GRAVITY_AWAY_DOG,9,16,12,2,-3,-14,9,3,12,17,True
17,GRAVITY_HOME_DOG,16,15,10,10,-19,-10,14,5,33,15,True
18,GRAVITY_AWAY_DOG,8,16,23,10,-6,-20,17,15,23,35,True
27,GRAVITY_HOME_DOG,13,16,25,20,-18,-25,27,26,45,51,True
10,GRAVITY_AWAY_DOG,13,16,6,3,-6,-10,8,4,14,14,True
11,GRAVITY_AWAY_DOG,5,16,16,3,7,-12,21,4,14,16,True
12,GRAVITY_HOME_DOG,16,15,3,4,-13,-13,4,7,17,20,True
17,GRAVITY_AWAY_DOG,3,14,30,10,3,-12,20,14,17,26,True
18,GRAVITY_HOME_DOG,14,10,10,21,-17,2,14,17,31,15,False
20,GRAVITY_AWAY_DOG,14,16,13,8,-20,-21,15,11,35,32,False
6,GRAVITY_HOME_DOG,14,15,3,2,-5,-3,2,3,7,6,True
6,GRAVITY_AWAY_DOG,2,16,10,1,6,-13,11,2,5,15,True
7,GRAVITY_HOME_DOG,16,4,1,11,-14,2,2,5,16,3,False
10,GRAVITY_HOME_DOG,15,6,4,16,-10,7,7,20,17,13,False
12,GRAVITY_HOME_DOG,15,12,6,13,-10,-1,8,20,18,21,True
13,GRAVITY_AWAY_DOG,10,15,16,6,1,-12,16,9,15,21,False
15,GRAVITY_HOME_DOG,13,15,14,9,-5,-13,18,10,23,23,True
15,GRAVITY_HOME_DOG,14,5,13,24,-3,6,15,24,18,18,False
21,GRAVITY_AWAY_DOG,4,15,31,17,9,-6,33,20,24,26,True
21,GRAVITY_AWAY_DOG,16,13,17,18,-16,-12,14,22,30,34,True
22,GRAVITY_HOME_DOG,16,8,17,29,-10,3,21,34,31,31,False
7,GRAVITY_AWAY_DOG,3,16,13,1,5,-13,11,4,6,17,False
10,GRAVITY_HOME_DOG,16,14,5,8,-8,-10,4,6,12,16,True
11,GRAVITY_AWAY_DOG,8,16,14,5,5,-11,16,5,11,16,True
11,GRAVITY_AWAY_DOG,13,15,9,6,-3,-8,13,8,16,16,False
21,GRAVITY_AWAY_DOG,12,14,23,17,-11,-15,18,20,29,35,False
21,GRAVITY_AWAY_DOG,3,16,37,15,16,-16,33,18,17,34,True
22,GRAVITY_HOME_DOG,16,6,15,32,-20,1,18,31,38,30,True
22,CRUSHER_AWAY_FAV,13,2,21,40,-14,20,19,37,33,17,True
23,GRAVITY_AWAY_DOG,8,13,33,21,1,-15,33,20,32,35,True
24,GRAVITY_HOME_DOG,15,13,21,22,-18,-11,20,28,38,39,False
