Phase,Matchup,Matches,W_Count,D_Count,L_Count,Home_Win%,Draw%,Away_Win%,Home_ROI%,Draw_ROI%,Away_ROI%
P5,W2 v W4,691,432,167,92,62.5,24.2,13.3,56.3,-22.66,-62.72
P5,W3 v W1,672,150,170,352,22.3,25.3,52.4,-44.2,-19.05,46.67
P5,W3 v W2,667,239,169,259,35.8,25.3,38.8,-10.42,-18.92,8.73
P5,W3 v W3,510,228,110,172,44.7,21.6,33.7,11.76,-30.98,-5.57
P5,W3 v W4,666,329,190,147,49.4,28.5,22.1,23.5,-8.71,-38.2
P5,W4 v W1,692,112,152,428,16.2,22.0,61.8,-59.54,-29.71,73.18
P5,W4 v W2,667,143,181,343,21.4,27.1,51.4,-46.4,-13.16,43.99
P5,W4 v W3,700,243,192,265,34.7,27.4,37.9,-13.21,-12.23,6.0
P5,W4 v W4,484,211,138,135,43.6,28.5,27.9,8.99,-8.76,-21.9
P6,W1 v W1,518,222,135,161,42.9,26.1,31.1,7.14,-16.6,-12.97
P6,W1 v W2,644,377,152,115,58.5,23.6,17.9,46.35,-24.47,-50.0
P6,W1 v W3,662,431,136,95,65.1,20.5,14.4,62.76,-34.26,-59.82
P6,W1 v W4,663,480,114,69,72.4,17.2,10.4,81.0,-44.98,-70.86
P6,W2 v W1,645,239,165,241,37.1,25.6,37.4,-7.36,-18.14,4.62
P6,W2 v W2,501,224,134,143,44.7,26.7,28.5,11.78,-14.41,-20.08
P6,W2 v W3,688,368,170,150,53.5,24.7,21.8,33.72,-20.93,-38.95
P6,W2 v W4,661,440,134,87,66.6,20.3,13.2,66.41,-35.13,-63.15
P6,W3 v W1,656,144,182,330,22.0,27.7,50.3,-45.12,-11.22,40.85
P6,W3 v W2,663,220,175,268,33.2,26.4,40.4,-17.04,-15.54,13.18
P6,W3 v W3,505,236,107,162,46.7,21.2,32.1,16.83,-32.2,-10.18
P6,W3 v W4,646,357,158,131,55.3,24.5,20.3,38.16,-21.73,-43.22
P6,W4 v W1,669,103,154,412,15.4,23.0,61.6,-61.51,-26.34,72.44
P6,W4 v W2,666,158,169,339,23.7,25.4,50.9,-40.69,-18.8,42.52
P6,W4 v W3,649,227,186,236,35.0,28.7,36.4,-12.56,-8.29,1.82
P6,W4 v W4,508,212,146,150,41.7,28.7,29.5,4.33,-8.03,-17.32
