phase,home_tier,away_tier,matches,home_win_rate,draw_rate,away_win_rate,home_dc_rate,away_dc_rate,any_win_rate
P5,T4,T2,678,0.2271,0.2478,0.5251,0.4749,0.7729,0.7522
P5,T4,T3,656,0.2896,0.2805,0.4299,0.5701,0.7104,0.7195
P5,T4,T4,486,0.4033,0.3292,0.2675,0.7325,0.5967,0.6708
P6,T1,T1,482,0.4834,0.2448,0.2718,0.7282,0.5166,0.7552
P6,T1,T2,666,0.5796,0.2207,0.1997,0.8003,0.4204,0.7793
P6,T1,T3,664,0.7018,0.1792,0.119,0.881,0.2982,0.8208
P6,T1,T4,702,0.7593,0.1795,0.0613,0.9387,0.2407,0.8205
P6,T2,T1,651,0.3134,0.2565,0.4301,0.5699,0.6866,0.7435
P6,T2,T2,493,0.4462,0.284,0.2698,0.7302,0.5538,0.716
P6,T2,T3,687,0.5822,0.2242,0.1936,0.8064,0.4178,0.7758
P6,T2,T4,690,0.6565,0.1986,0.1449,0.8551,0.3435,0.8014
P6,T3,T1,671,0.2057,0.2638,0.5306,0.4694,0.7943,0.7362
P6,T3,T2,625,0.3072,0.2608,0.432,0.568,0.6928,0.7392
P6,T3,T3,509,0.4145,0.334,0.2515,0.7485,0.5855,0.666
P6,T3,T4,657,0.5799,0.2253,0.1948,0.8052,0.4201,0.7747
P6,T4,T1,657,0.1233,0.2329,0.6438,0.3562,0.8767,0.7671
P6,T4,T2,665,0.2015,0.2632,0.5353,0.4647,0.7985,0.7368
P6,T4,T3,649,0.3205,0.265,0.4145,0.5855,0.6795,0.735
P6,T4,T4,476,0.416,0.3172,0.2668,0.7332,0.584,0.6828
