season_num,total_matches,home_wins,win_rate,sma_10
4965,12,2,0.16666666666666666,
4966,12,3,0.25,
4967,10,7,0.7,
4968,7,2,0.2857142857142857,
4969,12,10,0.8333333333333334,
4970,12,9,0.75,
4971,12,4,0.3333333333333333,
4972,9,4,0.4444444444444444,
4973,8,4,0.5,
4974,11,4,0.36363636363636365,0.4627128427128427
4975,7,3,0.42857142857142855,0.48890331890331884
4976,8,6,0.75,0.5389033189033189
4977,8,5,0.625,0.5314033189033189
4978,9,5,0.5555555555555556,0.5583874458874458
4979,11,7,0.6363636363636364,0.5386904761904762
4980,11,8,0.7272727272727273,0.536417748917749
4981,8,7,0.875,0.5905844155844157
4982,10,6,0.6,0.6061399711399711
4983,11,6,0.5454545454545454,0.6106854256854257
4984,10,3,0.3,0.6043217893217894
4985,8,2,0.25,0.5864646464646465
4986,8,2,0.25,0.5364646464646465
4987,7,5,0.7142857142857143,0.5453932178932179
4988,7,1,0.14285714285714285,0.5041233766233766
4989,10,2,0.2,0.460487012987013
4990,9,3,0.3333333333333333,0.42109307359307363
4991,9,1,0.1111111111111111,0.3447041847041847
4992,10,1,0.1,0.2947041847041847
4993,9,2,0.2222222222222222,0.2623809523809524
4994,10,4,0.4,0.2723809523809524
4995,13,5,0.38461538461538464,0.28584249084249086
4996,10,4,0.4,0.3008424908424908
4997,9,6,0.6666666666666666,0.2960805860805861
4998,10,4,0.4,0.3217948717948718
4999,7,2,0.2857142857142857,0.3303663003663003
5000,10,6,0.6,0.35703296703296705
5001,7,4,0.5714285714285714,0.40306471306471303
5002,9,2,0.2222222222222222,0.4152869352869352
5003,11,3,0.2727272727272727,0.42033744033744036
5004,5,3,0.6,0.4403374403374404
5005,10,4,0.4,0.4418759018759018
5006,14,3,0.21428571428571427,0.4233044733044733
5007,7,2,0.2857142857142857,0.38520923520923517
5008,10,4,0.4,0.3852092352092352
5009,13,10,0.7692307692307693,0.4335608835608836
5010,10,6,0.6,0.4335608835608835
5011,8,5,0.625,0.4389180264180264
5012,11,4,0.36363636363636365,0.4530594405594406
5013,10,4,0.4,0.4657867132867133
5014,13,8,0.6153846153846154,0.4673251748251748
5015,8,7,0.875,0.5148251748251749
5016,7,4,0.5714285714285714,0.5505394605394606
5017,9,5,0.5555555555555556,0.5775235875235876
5018,9,5,0.5555555555555556,0.5930791430791431
5019,12,4,0.3333333333333333,0.5494893994893995
5020,7,4,0.5714285714285714,0.5466322566322567
5080,9,4,0.4444444444444444,0.5285767010767011
5081,12,7,0.5833333333333334,0.550546398046398
5082,9,4,0.4444444444444444,0.5549908424908425
5083,11,4,0.36363636363636365,0.5298160173160174
5084,12,3,0.25,0.46731601731601735
5085,11,6,0.5454545454545454,0.46471861471861475
5086,11,4,0.36363636363636365,0.44552669552669555
5087,10,5,0.5,0.43997113997114
5088,11,4,0.36363636363636365,0.443001443001443
5089,11,8,0.7272727272727273,0.45858585858585854
5090,7,3,0.42857142857142855,0.45699855699855707
5091,13,6,0.46153846153846156,0.4448190698190698
5092,11,4,0.36363636363636365,0.4367382617382617
5093,10,6,0.6,0.46037462537462537
5094,9,4,0.4444444444444444,0.4798190698190698
5095,15,4,0.26666666666666666,0.45194028194028196
5096,9,4,0.4444444444444444,0.46002109002109004
5097,12,7,0.5833333333333334,0.46835442335442334
5098,9,1,0.1111111111111111,0.44310189810189815
5099,10,4,0.4,0.4103746253746253
5100,12,4,0.3333333333333333,0.40085081585081583
5101,11,6,0.5454545454545454,0.4092424242424243
5102,8,4,0.5,0.42287878787878785
5103,10,5,0.5,0.4128787878787879
5104,10,6,0.6,0.4284343434343434
5105,8,2,0.25,0.4267676767676768
5106,7,1,0.14285714285714285,0.3966089466089466
5107,11,4,0.36363636363636365,0.37463924963924966
5108,10,7,0.7,0.43352813852813854
5109,9,5,0.5555555555555556,0.4490836940836941
5110,12,7,0.5833333333333334,0.47408369408369405
5111,8,5,0.625,0.4820382395382395
5112,9,6,0.6666666666666666,0.49870490620490615
5113,10,1,0.1,0.4587049062049061
5114,12,4,0.3333333333333333,0.43203823953823955
5115,10,3,0.3,0.43703823953823956
5116,13,6,0.46153846153846156,0.46890637140637137
5117,11,4,0.36363636363636365,0.46890637140637137
5118,13,7,0.5384615384615384,0.4527525252525252
5119,11,1,0.09090909090909091,0.40628787878787875
5120,6,3,0.5,0.39795454545454545
5121,7,2,0.2857142857142857,0.36402597402597403
5122,8,3,0.375,0.33485930735930736
5123,5,2,0.4,0.3648593073593073
5124,10,4,0.4,0.37152597402597404
5125,15,7,0.4666666666666667,0.3881926406926407
5126,9,5,0.5555555555555556,0.39759435009435007
5127,10,3,0.3,0.3912307137307137
5128,8,5,0.625,0.3998845598845599
5129,8,6,0.75,0.4657936507936508
5130,9,5,0.5555555555555556,0.47134920634920635
5131,9,4,0.4444444444444444,0.48722222222222217
5132,10,7,0.7,0.5197222222222222
5133,10,2,0.2,0.4997222222222222
5134,13,7,0.5384615384615384,0.513568376068376
5135,9,5,0.5555555555555556,0.522457264957265
5136,10,2,0.2,0.4869017094017094
5137,8,3,0.375,0.49440170940170935
5138,10,4,0.4,0.4719017094017094
5139,7,3,0.42857142857142855,0.43975885225885225
5140,10,3,0.3,0.4142032967032967
5141,11,5,0.45454545454545453,0.4152133977133977
5142,12,7,0.5833333333333334,0.403546731046731
5143,11,4,0.36363636363636365,0.4199103674103674
5144,7,2,0.2857142857142857,0.3946356421356422
5145,7,7,1.0,0.4390800865800866
5146,13,6,0.46153846153846156,0.46523393273393265
5147,8,4,0.5,0.47773393273393266
5148,5,2,0.4,0.4777339327339328
5149,9,6,0.6666666666666666,0.5015434565434566
5150,9,4,0.4444444444444444,0.5159879009879009
5151,11,6,0.5454545454545454,0.5250788100788101
5152,10,3,0.3,0.49674547674547676
5153,10,4,0.4,0.5003818403818403
5154,9,2,0.2222222222222222,0.49403263403263403
5155,12,7,0.5833333333333334,0.4523659673659674
5156,10,5,0.5,0.45621212121212124
5157,9,6,0.6666666666666666,0.47287878787878784
5158,8,4,0.5,0.4828787878787878
5159,11,5,0.45454545454545453,0.4616666666666667
5160,6,1,0.16666666666666666,0.4338888888888889
5161,11,3,0.2727272727272727,0.4066161616161616
5162,12,7,0.5833333333333334,0.4349494949494949
5163,10,6,0.6,0.45494949494949494
5164,7,3,0.42857142857142855,0.4755844155844155
5165,9,7,0.7777777777777778,0.49502886002886
5166,10,3,0.3,0.47502886002886
5167,13,9,0.6923076923076923,0.4775929625929626
5168,9,4,0.4444444444444444,0.472037407037407
5169,11,4,0.36363636363636365,0.462946497946498
5170,10,7,0.7,0.5162798312798312
5171,8,4,0.5,0.5390071040071039
5172,10,3,0.3,0.5106737706737707
5173,9,5,0.5555555555555556,0.5062293262293263
5174,11,6,0.5454545454545454,0.5179176379176379
5175,9,3,0.3333333333333333,0.47347319347319344
5176,8,6,0.75,0.5184731934731934
5177,9,3,0.3333333333333333,0.4825757575757576
5178,10,5,0.5,0.48813131313131314
5179,13,7,0.5384615384615384,0.5056138306138306
5180,9,5,0.5555555555555556,0.49116938616938616
5181,13,6,0.46153846153846156,0.4873232323232323
5182,8,3,0.375,0.4948232323232323
5183,12,7,0.5833333333333334,0.49760101010101004
5184,11,7,0.6363636363636364,0.5066919191919192
