matchday_number,home_team,away_team,home_goals,away_goals,o15,o25,u35,gg,ng
1,Liverpool,Brighton,1,1,,,,,
1,Newcastle,Aston Villa,2,3,,,,,
1,Crystal Palace,Tottenham,1,1,,,,,
1,Manchester Red,Fulham,2,1,,,,,
1,Leeds,Chelsea,0,1,,,,,
1,Manchester Blue,London Guns,0,1,,,,,
1,West Ham,Bournemouth,2,1,,,,,
1,Everton,Wolverhampton,1,0,,,,,
2,London Guns,Leeds,2,0,,,,,
2,Chelsea,Crystal Palace,3,0,,,,,
2,Aston Villa,Manchester Blue,0,2,,,,,
2,Wolverhampton,Manchester Red,2,0,,,,,
2,Tottenham,West Ham,2,4,,,,,
2,Fulham,Liverpool,0,1,,,,,
2,Bournemouth,Everton,1,0,,,,,
2,Brighton,Newcastle,1,0,,,,,
3,Newcastle,Fulham,3,0,,,,,
3,Manchester Red,Bournemouth,5,1,,,,,
3,Everton,Tottenham,1,0,,,,,
3,Leeds,Manchester Blue,3,0,,,,,
3,Brighton,Aston Villa,0,0,,,,,
3,Liverpool,Wolverhampton,1,1,,,,,
3,Crystal Palace,London Guns,0,2,,,,,
3,West Ham,Chelsea,2,1,,,,,
4,Fulham,Brighton,0,1,,,,,
4,Aston Villa,Leeds,2,1,,,,,
4,Tottenham,Manchester Red,3,2,,,,,
4,Wolverhampton,Newcastle,0,1,,,,,
4,Bournemouth,Liverpool,2,2,,,,,
4,Chelsea,Everton,0,1,,,,,
4,London Guns,West Ham,4,0,,,,,
4,Manchester Blue,Crystal Palace,3,1,,,,,
5,Liverpool,Tottenham,1,2,,,,,
5,Brighton,Wolverhampton,2,3,,,,,
5,Newcastle,Bournemouth,2,0,,,,,
5,Crystal Palace,Leeds,1,2,,,,,
5,West Ham,Manchester Blue,3,4,,,,,
5,Fulham,Aston Villa,1,0,,,,,
5,Everton,London Guns,0,1,,,,,
5,Manchester Red,Chelsea,4,1,,,,,
6,Manchester Blue,Everton,3,1,,,,,
6,Tottenham,Newcastle,3,1,,,,,
6,Leeds,West Ham,2,0,,,,,
6,Chelsea,Liverpool,1,0,,,,,
6,Aston Villa,Crystal Palace,1,0,,,,,
6,Bournemouth,Brighton,1,0,,,,,
6,London Guns,Manchester Red,4,2,,,,,
6,Wolverhampton,Fulham,2,1,,,,,
7,Fulham,Bournemouth,0,1,,,,,
7,West Ham,Crystal Palace,1,1,,,,,
7,Liverpool,London Guns,0,0,,,,,
7,Newcastle,Chelsea,3,0,,,,,
7,Brighton,Tottenham,0,0,,,,,
7,Manchester Red,Manchester Blue,2,2,,,,,
7,Wolverhampton,Aston Villa,3,3,,,,,
7,Everton,Leeds,2,1,,,,,
8,Tottenham,Fulham,3,0,,,,,
8,Aston Villa,West Ham,3,1,,,,,
8,Bournemouth,Wolverhampton,0,2,,,,,
8,London Guns,Newcastle,4,2,,,,,
8,Chelsea,Brighton,0,1,,,,,
8,Manchester Blue,Liverpool,0,1,,,,,
8,Leeds,Manchester Red,0,1,,,,,
8,Crystal Palace,Everton,1,0,,,,,
9,Wolverhampton,Tottenham,0,1,,,,,
9,Brighton,London Guns,3,2,,,,,
9,Liverpool,Leeds,1,0,,,,,
9,Manchester Red,Crystal Palace,3,0,,,,,
9,Bournemouth,Aston Villa,2,2,,,,,
9,Newcastle,Manchester Blue,2,2,,,,,
9,Fulham,Chelsea,0,0,,,,,
9,Everton,West Ham,0,1,,,,,
10,Leeds,Newcastle,1,0,,,,,
10,Tottenham,Bournemouth,4,0,,,,,
10,Aston Villa,Everton,1,1,,,,,
10,Manchester Blue,Brighton,1,1,,,,,
10,London Guns,Fulham,0,0,,,,,
10,Chelsea,Wolverhampton,2,0,,,,,
10,Crystal Palace,Liverpool,3,2,,,,,
10,West Ham,Manchester Red,3,1,,,,,
11,Fulham,Manchester Blue,0,1,,,,,
11,Brighton,Leeds,2,0,,,,,
11,Wolverhampton,London Guns,2,4,,,,,
11,Newcastle,Crystal Palace,0,2,,,,,
11,Tottenham,Aston Villa,1,0,,,,,
11,Manchester Red,Everton,3,0,,,,,
11,Bournemouth,Chelsea,2,4,,,,,
11,Liverpool,West Ham,1,0,,,,,
12,Crystal Palace,Brighton,0,1,,,,,
12,London Guns,Bournemouth,2,2,,,,,
12,Manchester Blue,Wolverhampton,2,0,,,,,
12,Aston Villa,Manchester Red,1,1,,,,,
12,Leeds,Fulham,0,0,,,,,
12,Chelsea,Tottenham,0,0,,,,,
12,West Ham,Newcastle,1,0,,,,,
12,Everton,Liverpool,0,2,,,,,
13,Chelsea,Aston Villa,0,1,,,,,
13,Wolverhampton,Leeds,0,3,,,,,
13,Liverpool,Manchester Red,2,0,,,,,
13,Fulham,Crystal Palace,2,1,,,,,
13,Newcastle,Everton,0,0,,,,,
13,Tottenham,London Guns,3,2,,,,,
13,Brighton,West Ham,1,1,,,,,
13,Bournemouth,Manchester Blue,1,3,,,,,
14,Aston Villa,Liverpool,1,2,,,,,
14,West Ham,Fulham,3,0,,,,,
14,Leeds,Bournemouth,0,1,,,,,
14,London Guns,Chelsea,0,3,,,,,
14,Crystal Palace,Wolverhampton,0,2,,,,,
14,Everton,Brighton,4,0,,,,,
14,Manchester Blue,Tottenham,2,1,,,,,
14,Manchester Red,Newcastle,4,0,,,,,
15,Fulham,Everton,2,3,,,,,
15,Chelsea,Manchester Blue,4,2,,,,,
15,Tottenham,Leeds,0,0,,,,,
15,Wolverhampton,West Ham,1,1,,,,,
15,Bournemouth,Crystal Palace,2,0,,,,,
15,Brighton,Manchester Red,1,1,,,,,
15,London Guns,Aston Villa,3,1,,,,,
15,Newcastle,Liverpool,1,1,,,,,
16,Wolverhampton,Everton,2,3,,,,,
16,Fulham,Manchester Red,2,0,,,,,
16,Bournemouth,West Ham,0,1,,,,,
16,Tottenham,Crystal Palace,0,1,,,,,
16,Chelsea,Leeds,1,0,,,,,
16,London Guns,Manchester Blue,3,1,,,,,
16,Brighton,Liverpool,1,1,,,,,
16,Aston Villa,Newcastle,1,0,,,,,
17,Leeds,London Guns,2,1,,,,,
17,Crystal Palace,Chelsea,1,1,,,,,
17,West Ham,Tottenham,5,1,,,,,
17,Manchester Red,Wolverhampton,1,0,,,,,
17,Manchester Blue,Aston Villa,3,2,,,,,
17,Everton,Bournemouth,2,0,,,,,
17,Liverpool,Fulham,3,0,,,,,
17,Newcastle,Brighton,0,0,,,,,
18,Bournemouth,Manchester Red,0,5,,,,,
18,Wolverhampton,Liverpool,3,3,,,,,
18,London Guns,Crystal Palace,3,1,,,,,
18,Tottenham,Everton,1,0,,,,,
