matchday_number,home_team,away_team,home_goals,away_goals,o15,o25,u35,gg,ng
18,Manchester Blue,Leeds,2,0,,,,,
18,Aston Villa,Brighton,1,3,,,,,
18,Chelsea,West Ham,2,0,,,,,
18,Fulham,Newcastle,1,2,,,,,
19,Liverpool,Bournemouth,0,0,,,,,
19,Manchester Red,Tottenham,1,1,,,,,
19,Leeds,Aston Villa,0,1,,,,,
19,Brighton,Fulham,1,2,,,,,
19,Crystal Palace,Manchester Blue,0,1,,,,,
19,Newcastle,Wolverhampton,0,2,,,,,
19,West Ham,London Guns,5,1,,,,,
19,Everton,Chelsea,0,1,,,,,
20,Leeds,Crystal Palace,1,0,,,,,
20,Chelsea,Manchester Red,3,0,,,,,
20,Tottenham,Liverpool,3,1,,,,,
20,London Guns,Everton,4,0,,,,,
20,Manchester Blue,West Ham,3,2,,,,,
20,Aston Villa,Fulham,2,1,,,,,
20,Wolverhampton,Brighton,0,2,,,,,
20,Bournemouth,Newcastle,0,0,,,,,
21,Brighton,Bournemouth,1,1,,,,,
21,Everton,Manchester Blue,3,3,,,,,
21,Fulham,Wolverhampton,2,1,,,,,
21,Manchester Red,London Guns,4,3,,,,,
21,Liverpool,Chelsea,1,1,,,,,
21,Newcastle,Tottenham,0,2,,,,,
21,West Ham,Leeds,4,0,,,,,
21,Crystal Palace,Aston Villa,0,2,,,,,
22,Leeds,Everton,0,0,,,,,
22,London Guns,Liverpool,1,0,,,,,
22,Tottenham,Brighton,1,1,,,,,
22,Manchester Blue,Manchester Red,5,0,,,,,
22,Aston Villa,Wolverhampton,1,0,,,,,
22,Bournemouth,Fulham,0,0,,,,,
22,Crystal Palace,West Ham,3,2,,,,,
22,Chelsea,Newcastle,1,0,,,,,
23,Liverpool,Manchester Blue,0,2,,,,,
23,Newcastle,London Guns,0,0,,,,,
23,West Ham,Aston Villa,2,3,,,,,
23,Fulham,Tottenham,2,2,,,,,
23,Manchester Red,Leeds,2,1,,,,,
23,Everton,Crystal Palace,1,1,,,,,
23,Brighton,Chelsea,0,3,,,,,
23,Wolverhampton,Bournemouth,4,2,,,,,
24,Crystal Palace,Manchester Red,0,2,,,,,
24,London Guns,Brighton,3,1,,,,,
24,Leeds,Liverpool,1,1,,,,,
24,Tottenham,Wolverhampton,3,1,,,,,
24,Manchester Blue,Newcastle,2,1,,,,,
24,Chelsea,Fulham,2,0,,,,,
24,Aston Villa,Bournemouth,0,0,,,,,
24,West Ham,Everton,1,0,,,,,
25,Fulham,London Guns,0,2,,,,,
25,Newcastle,Leeds,0,1,,,,,
25,Bournemouth,Tottenham,1,2,,,,,
25,Brighton,Manchester Blue,1,0,,,,,
25,Everton,Aston Villa,0,0,,,,,
25,Wolverhampton,Chelsea,2,1,,,,,
25,Liverpool,Crystal Palace,2,0,,,,,
25,Manchester Red,West Ham,2,0,,,,,
26,Chelsea,Bournemouth,6,1,,,,,
26,Aston Villa,Tottenham,2,1,,,,,
26,Leeds,Brighton,0,1,,,,,
26,Everton,Manchester Red,1,0,,,,,
26,West Ham,Liverpool,0,1,,,,,
26,Crystal Palace,Newcastle,1,1,,,,,
26,London Guns,Wolverhampton,1,0,,,,,
26,Manchester Blue,Fulham,2,1,,,,,
27,Wolverhampton,Manchester Blue,1,0,,,,,
27,Brighton,Crystal Palace,2,0,,,,,
27,Tottenham,Chelsea,0,2,,,,,
27,Newcastle,West Ham,1,1,,,,,
27,Liverpool,Everton,6,1,,,,,
27,Fulham,Leeds,0,1,,,,,
27,Manchester Red,Aston Villa,3,0,,,,,
27,Bournemouth,London Guns,1,3,,,,,
28,Crystal Palace,Fulham,0,1,,,,,
28,London Guns,Tottenham,3,1,,,,,
28,Manchester Red,Liverpool,1,1,,,,,
28,West Ham,Brighton,2,2,,,,,
28,Everton,Newcastle,1,0,,,,,
28,Manchester Blue,Bournemouth,3,1,,,,,
28,Leeds,Wolverhampton,0,0,,,,,
28,Aston Villa,Chelsea,0,0,,,,,
29,Bournemouth,Leeds,0,0,,,,,
29,Liverpool,Aston Villa,2,0,,,,,
29,Tottenham,Manchester Blue,4,1,,,,,
29,Brighton,Everton,2,0,,,,,
29,Fulham,West Ham,2,0,,,,,
29,Newcastle,Manchester Red,1,2,,,,,
29,Wolverhampton,Crystal Palace,1,0,,,,,
29,Chelsea,London Guns,1,0,,,,,
