matchday_number,home_team,away_team,home_goals,away_goals,o15,o25,u35,gg,ng
27,Manchester Red,Chelsea,3,2,,,,,
27,West Ham,London Guns,1,0,,,,,
28,Tottenham,Aston Villa,2,2,,,,,
28,Brighton,Bournemouth,1,0,,,,,
28,Chelsea,Everton,4,3,,,,,
28,Liverpool,Manchester Red,2,2,,,,,
28,London Guns,Crystal Palace,4,1,,,,,
28,Manchester Blue,West Ham,6,1,,,,,
28,Newcastle,Fulham,0,1,,,,,
28,Wolverhampton,Leeds,3,1,,,,,
29,West Ham,Tottenham,0,3,,,,,
29,Leeds,Newcastle,1,2,,,,,
29,Fulham,Brighton,0,2,,,,,
29,Everton,Liverpool,0,2,,,,,
29,Crystal Palace,Manchester Blue,1,1,,,,,
29,Bournemouth,Chelsea,0,0,,,,,
29,Aston Villa,Wolverhampton,2,0,,,,,
29,Manchester Red,London Guns,1,1,,,,,
30,Tottenham,Crystal Palace,2,1,,,,,
30,Chelsea,Fulham,2,1,,,,,
30,Leeds,Aston Villa,0,0,,,,,
30,Liverpool,Bournemouth,4,0,,,,,
30,London Guns,Everton,0,2,,,,,
30,Manchester Blue,Manchester Red,1,1,,,,,
30,Newcastle,Brighton,1,0,,,,,
30,Wolverhampton,West Ham,0,2,,,,,
