home_team,away_team,n,n_odd,avg_total_goals,seasons_seen,distinct_mds,n_even,pct_odd,pct_even,dominant,dominant_pct,home_tier,away_tier
Brighton,Manchester Blue,817,358,2.7319461444308444,505,30,459,43.82,56.18,Even,56.18,T2,T1
London Guns,Leeds,817,448,2.572827417380661,511,30,369,54.83,45.17,Odd,54.83,T1,T3
Fulham,Crystal Palace,816,419,1.9938725490196079,510,30,397,51.35,48.65,Odd,51.35,T4,T3
Manchester Red,Everton,816,309,2.513480392156863,504,30,507,37.87,62.13,Even,62.13,T1,T2
Tottenham,Newcastle,816,352,2.485294117647059,509,30,464,43.14,56.86,Even,56.86,T1,T3
Crystal Palace,Tottenham,816,352,2.6813725490196076,511,30,464,43.14,56.86,Even,56.86,T3,T1
Leeds,Brighton,815,317,1.9153374233128835,510,30,498,38.9,61.1,Even,61.1,T3,T2
Chelsea,West Ham,814,328,3.208845208845209,507,30,486,40.29,59.71,Even,59.71,T1,T2
Everton,Aston Villa,814,382,1.9066339066339066,495,30,432,46.93,53.07,Even,53.07,T2,T2
Chelsea,Leeds,814,378,2.5036855036855035,508,30,436,46.44,53.56,Even,53.56,T1,T3
Leeds,Chelsea,813,419,2.3284132841328415,513,30,394,51.54,48.46,Odd,51.54,T3,T1
Bournemouth,Leeds,813,394,1.953259532595326,506,30,419,48.46,51.54,Even,51.54,T4,T3
Leeds,Fulham,813,405,1.6297662976629765,505,30,408,49.82,50.18,Even,50.18,T3,T4
Fulham,London Guns,812,499,2.3017241379310347,517,30,313,61.45,38.55,Odd,61.45,T4,T1
Crystal Palace,Aston Villa,812,344,2.5098522167487687,505,30,468,42.36,57.64,Even,57.64,T3,T2
London Guns,West Ham,811,416,2.9765721331689274,505,30,395,51.29,48.71,Odd,51.29,T1,T2
Brighton,West Ham,811,366,2.6929716399506782,510,30,445,45.13,54.87,Even,54.87,T2,T2
Everton,Newcastle,811,423,2.1837237977805177,505,30,388,52.16,47.84,Odd,52.16,T2,T3
Tottenham,Manchester Red,811,439,2.474722564734895,508,30,372,54.13,45.87,Odd,54.13,T1,T1
London Guns,Liverpool,810,434,3.0074074074074075,504,30,376,53.58,46.42,Odd,53.58,T1,T1
London Guns,Tottenham,810,415,2.737037037037037,499,30,395,51.23,48.77,Odd,51.23,T1,T1
Liverpool,Manchester Red,809,360,2.603213844252163,508,30,449,44.5,55.5,Even,55.5,T1,T1
Tottenham,Chelsea,809,376,2.7985166872682323,508,30,433,46.48,53.52,Even,53.52,T1,T1
Manchester Blue,Fulham,809,383,2.737948084054388,499,30,426,47.34,52.66,Even,52.66,T1,T4
Chelsea,Manchester Blue,808,418,3.099009900990099,493,30,390,51.73,48.27,Odd,51.73,T1,T1
West Ham,Manchester Blue,807,348,2.98636926889715,507,30,459,43.12,56.88,Even,56.88,T2,T1
Everton,Brighton,807,354,1.8612143742255267,502,30,453,43.87,56.13,Even,56.13,T2,T2
Bournemouth,Liverpool,806,339,2.7183622828784118,499,30,467,42.06,57.94,Even,57.94,T4,T1
Liverpool,Aston Villa,805,373,2.5652173913043477,512,30,432,46.34,53.66,Even,53.66,T1,T2
Brighton,Newcastle,805,413,2.2596273291925466,506,30,392,51.3,48.7,Odd,51.3,T2,T3
Fulham,Everton,804,436,1.8532338308457712,506,30,368,54.23,45.77,Odd,54.23,T4,T2
Newcastle,Liverpool,804,356,2.445273631840796,504,30,448,44.28,55.72,Even,55.72,T3,T1
Everton,Manchester Red,803,487,2.282689912826899,511,30,316,60.65,39.35,Odd,60.65,T2,T1
Manchester Blue,Bournemouth,803,360,2.971357409713574,498,30,443,44.83,55.17,Even,55.17,T1,T4
Tottenham,Brighton,802,417,2.6670822942643393,501,30,385,52.0,48.0,Odd,52.0,T1,T2
Manchester Blue,Everton,801,394,2.696629213483146,499,30,407,49.19,50.81,Even,50.81,T1,T2
Newcastle,Chelsea,801,388,3.2459425717852683,490,30,413,48.44,51.56,Even,51.56,T3,T1
Aston Villa,Bournemouth,800,372,2.27,503,30,428,46.5,53.5,Even,53.5,T2,T4
Wolverhampton,Manchester Blue,800,304,3.2075,500,30,496,38.0,62.0,Even,62.0,T3,T1
London Guns,Wolverhampton,800,362,3.2625,505,30,438,45.25,54.75,Even,54.75,T1,T3
Newcastle,Manchester Red,798,352,2.7393483709273183,501,30,446,44.11,55.89,Even,55.89,T3,T1
Crystal Palace,London Guns,796,403,2.986180904522613,503,30,393,50.63,49.37,Odd,50.63,T3,T1
Everton,London Guns,795,316,2.178616352201258,502,30,479,39.75,60.25,Even,60.25,T2,T1
Aston Villa,Wolverhampton,794,334,2.795969773299748,503,30,460,42.07,57.93,Even,57.93,T2,T3
Tottenham,Everton,794,385,2.6083123425692696,504,30,409,48.49,51.51,Even,51.51,T1,T2
Wolverhampton,Fulham,790,357,2.6645569620253164,499,30,433,45.19,54.81,Even,54.81,T3,T4
Bournemouth,Tottenham,785,348,2.259872611464968,495,30,437,44.33,55.67,Even,55.67,T4,T1
Brighton,Wolverhampton,779,494,2.8831835686777922,493,30,285,63.41,36.59,Odd,63.41,T2,T3
Manchester Red,Crystal Palace,773,478,2.988357050452781,480,30,295,61.84,38.16,Odd,61.84,T1,T3
