season_name,matchday_number,md_total_goals,md_sum_odd,md_n_odd_fixtures,md_n_even_fixtures,md_avg_goals
VFLM 3137,1,28,0,4,4,3.5
VFLM 3137,2,21,1,5,3,2.625
VFLM 3137,3,21,1,3,5,2.625
VFLM 3137,4,17,1,1,7,2.125
VFLM 3137,5,25,1,5,3,3.125
VFLM 3137,6,21,1,5,3,2.625
VFLM 3137,7,19,1,5,3,2.375
VFLM 3137,8,19,1,5,3,2.375
VFLM 3137,9,22,0,6,2,2.75
VFLM 3137,10,19,1,3,5,2.375
VFLM 3137,11,18,0,4,4,2.25
VFLM 3137,12,10,0,2,6,1.25
VFLM 3137,13,26,0,4,4,3.25
VFLM 3137,14,10,0,4,4,1.25
VFLM 3137,15,23,1,3,5,2.875
VFLM 3137,16,22,0,6,2,2.75
VFLM 3137,17,14,0,4,4,1.75
VFLM 3137,18,22,0,4,4,2.75
VFLM 3137,19,31,1,5,3,3.875
VFLM 3137,20,21,1,5,3,2.625
VFLM 3137,21,17,1,3,5,2.125
VFLM 3137,22,27,1,1,7,3.375
VFLM 3137,23,20,0,4,4,2.5
VFLM 3137,24,25,1,3,5,3.125
VFLM 3137,25,20,0,4,4,2.5
VFLM 3137,26,18,0,4,4,2.25
VFLM 3137,27,26,0,2,6,3.25
VFLM 3137,28,15,1,5,3,1.875
VFLM 3137,29,24,0,4,4,3.0
VFLM 3137,30,20,0,4,4,2.5
VFLM 3138,1,20,0,2,6,2.5
VFLM 3138,2,18,0,2,6,2.25
VFLM 3138,3,22,0,4,4,2.75
VFLM 3138,4,19,1,5,3,2.375
VFLM 3138,5,20,0,6,2,2.5
VFLM 3138,6,23,1,5,3,2.875
VFLM 3138,7,22,0,2,6,2.75
VFLM 3138,8,16,0,2,6,2.0
VFLM 3138,9,22,0,6,2,2.75
VFLM 3138,10,26,0,4,4,3.25
VFLM 3138,11,20,0,4,4,2.5
VFLM 3138,12,16,0,6,2,2.0
VFLM 3138,13,21,1,1,7,2.625
VFLM 3138,14,15,1,1,7,1.875
VFLM 3138,15,23,1,5,3,2.875
VFLM 3138,16,17,1,7,1,2.125
VFLM 3138,17,19,1,5,3,2.375
VFLM 3138,18,11,1,5,3,1.375
VFLM 3138,19,15,1,3,5,1.875
VFLM 3138,20,24,0,2,6,3.0
VFLM 3138,21,12,0,6,2,1.5
VFLM 3138,22,18,0,6,2,2.25
VFLM 3138,23,26,0,4,4,3.25
VFLM 3138,24,19,1,3,5,2.375
VFLM 3138,25,17,1,5,3,2.125
VFLM 3138,26,28,0,6,2,3.5
VFLM 3138,27,21,1,3,5,2.625
VFLM 3138,28,25,1,5,3,3.125
VFLM 3138,29,27,1,3,5,3.375
VFLM 3138,30,27,1,5,3,3.375
VFLM 3139,1,16,0,4,4,2.0
VFLM 3139,2,12,0,4,4,1.5
VFLM 3139,3,20,0,4,4,2.5
VFLM 3139,4,17,1,3,5,2.125
VFLM 3139,5,26,0,4,4,3.25
VFLM 3139,6,26,0,4,4,3.25
VFLM 3139,7,16,0,4,4,2.0
VFLM 3139,8,20,0,2,6,2.5
VFLM 3139,9,29,1,3,5,3.625
VFLM 3139,10,25,1,5,3,3.125
VFLM 3139,11,25,1,3,5,3.125
VFLM 3139,12,21,1,1,7,2.625
VFLM 3139,13,23,1,5,3,2.875
VFLM 3139,14,28,0,4,4,3.5
VFLM 3139,15,19,1,3,5,2.375
VFLM 3139,16,18,0,2,6,2.25
VFLM 3139,17,21,1,5,3,2.625
VFLM 3139,18,19,1,5,3,2.375
VFLM 3139,19,15,1,3,5,1.875
VFLM 3139,20,23,1,3,5,2.875
VFLM 3139,21,22,0,4,4,2.75
VFLM 3139,22,23,1,3,5,2.875
VFLM 3139,23,22,0,4,4,2.75
VFLM 3139,24,21,1,3,5,2.625
VFLM 3139,25,19,1,5,3,2.375
VFLM 3139,26,11,1,3,5,1.375
VFLM 3139,27,18,0,6,2,2.25
VFLM 3139,28,25,1,1,7,3.125
VFLM 3139,29,24,0,2,6,3.0
VFLM 3139,30,20,0,2,6,2.5
VFLM 3140,1,23,1,5,3,2.875
VFLM 3140,2,18,0,4,4,2.25
VFLM 3140,3,24,0,4,4,3.0
VFLM 3140,4,23,1,5,3,2.875
VFLM 3140,5,21,1,5,3,2.625
VFLM 3140,6,18,0,4,4,2.25
VFLM 3140,7,24,0,2,6,3.0
VFLM 3140,8,20,0,2,6,2.5
VFLM 3140,9,19,1,5,3,2.375
VFLM 3140,10,30,0,4,4,3.75
VFLM 3140,11,23,1,3,5,2.875
VFLM 3140,12,22,0,4,4,2.75
VFLM 3140,13,16,0,4,4,2.0
VFLM 3140,14,22,0,6,2,2.75
VFLM 3140,15,16,0,4,4,2.0
VFLM 3140,16,23,1,1,7,2.875
VFLM 3140,17,21,1,3,5,2.625
VFLM 3140,18,24,0,6,2,3.0
VFLM 3140,19,21,1,3,5,2.625
VFLM 3140,20,29,1,5,3,3.625
VFLM 3140,21,27,1,3,5,3.375
VFLM 3140,22,14,0,6,2,1.75
VFLM 3140,23,12,0,4,4,1.5
VFLM 3140,24,22,0,6,2,2.75
VFLM 3140,25,13,1,3,5,1.625
VFLM 3140,26,17,1,3,5,2.125
VFLM 3140,27,20,0,6,2,2.5
VFLM 3140,28,14,0,2,6,1.75
VFLM 3140,29,15,1,3,5,1.875
VFLM 3140,30,19,1,5,3,2.375
VFLM 3141,1,16,0,2,6,2.0
VFLM 3141,2,21,1,3,5,2.625
VFLM 3141,3,22,0,4,4,2.75
VFLM 3141,4,23,1,5,3,2.875
VFLM 3141,5,18,0,2,6,2.25
VFLM 3141,6,23,1,5,3,2.875
VFLM 3141,7,20,0,4,4,2.5
VFLM 3141,8,19,1,3,5,2.375
VFLM 3141,9,20,0,6,2,2.5
VFLM 3141,10,21,1,3,5,2.625
VFLM 3141,11,17,1,1,7,2.125
VFLM 3141,12,20,0,2,6,2.5
VFLM 3141,13,14,0,4,4,1.75
VFLM 3141,14,31,1,5,3,3.875
VFLM 3141,15,24,0,6,2,3.0
VFLM 3141,16,31,1,5,3,3.875
VFLM 3141,17,16,0,2,6,2.0
VFLM 3141,18,27,1,5,3,3.375
VFLM 3141,19,23,1,3,5,2.875
VFLM 3141,20,19,1,3,5,2.375
VFLM 3141,21,20,0,4,4,2.5
VFLM 3141,22,24,0,4,4,3.0
VFLM 3141,23,22,0,0,8,2.75
VFLM 3141,24,17,1,3,5,2.125
VFLM 3141,25,20,0,6,2,2.5
VFLM 3141,26,23,1,5,3,2.875
VFLM 3141,27,17,1,5,3,2.125
VFLM 3141,28,18,0,2,6,2.25
VFLM 3141,29,19,1,5,3,2.375
VFLM 3141,30,25,1,3,5,3.125
VFLM 3142,1,18,0,4,4,2.25
VFLM 3142,2,20,0,4,4,2.5
VFLM 3142,3,23,1,5,3,2.875
VFLM 3142,4,22,0,2,6,2.75
VFLM 3142,5,20,0,6,2,2.5
VFLM 3142,6,22,0,2,6,2.75
VFLM 3142,7,15,1,3,5,1.875
VFLM 3142,8,22,0,6,2,2.75
VFLM 3142,9,20,0,4,4,2.5
VFLM 3142,10,22,0,6,2,2.75
VFLM 3142,11,23,1,7,1,2.875
VFLM 3142,12,18,0,4,4,2.25
VFLM 3142,13,18,0,4,4,2.25
VFLM 3142,14,29,1,5,3,3.625
VFLM 3142,15,25,1,3,5,3.125
VFLM 3142,16,18,0,4,4,2.25
VFLM 3142,17,22,0,4,4,2.75
VFLM 3142,18,16,0,4,4,2.0
VFLM 3142,19,19,1,5,3,2.375
VFLM 3142,20,23,1,3,5,2.875
VFLM 3142,21,17,1,3,5,2.125
VFLM 3142,22,22,0,6,2,2.75
VFLM 3142,23,21,1,5,3,2.625
VFLM 3142,24,17,1,7,1,2.125
VFLM 3142,25,27,1,7,1,3.375
VFLM 3142,26,15,1,5,3,1.875
VFLM 3142,27,22,0,4,4,2.75
VFLM 3142,28,26,0,4,4,3.25
VFLM 3142,29,22,0,4,4,2.75
VFLM 3142,30,23,1,5,3,2.875
VFLM 3143,1,28,0,0,8,3.5
VFLM 3143,2,15,1,3,5,1.875
VFLM 3143,3,23,1,5,3,2.875
VFLM 3143,4,18,0,4,4,2.25
VFLM 3143,5,19,1,3,5,2.375
VFLM 3143,6,25,1,5,3,3.125
VFLM 3143,7,23,1,7,1,2.875
VFLM 3143,8,18,0,6,2,2.25
VFLM 3143,9,17,1,3,5,2.125
VFLM 3143,10,22,0,6,2,2.75
VFLM 3143,11,18,0,4,4,2.25
VFLM 3143,12,17,1,3,5,2.125
VFLM 3143,13,22,0,4,4,2.75
VFLM 3143,14,18,0,4,4,2.25
VFLM 3143,15,21,1,3,5,2.625
VFLM 3143,16,10,0,4,4,1.25
VFLM 3143,17,26,0,4,4,3.25
VFLM 3143,18,18,0,4,4,2.25
VFLM 3143,19,28,0,4,4,3.5
VFLM 3143,20,19,1,7,1,2.375
VFLM 3143,21,21,1,5,3,2.625
VFLM 3143,22,17,1,5,3,2.125
VFLM 3143,23,23,1,3,5,2.875
VFLM 3143,24,23,1,7,1,2.875
VFLM 3143,25,20,0,4,4,2.5
VFLM 3143,26,16,0,6,2,2.0
VFLM 3143,27,15,1,3,5,1.875
VFLM 3143,28,16,0,6,2,2.0
VFLM 3143,29,26,0,4,4,3.25
VFLM 3143,30,27,1,5,3,3.375
VFLM 3144,1,23,1,3,5,2.875
VFLM 3144,2,25,1,3,5,3.125
VFLM 3144,3,26,0,0,8,3.25
VFLM 3144,4,18,0,2,6,2.25
VFLM 3144,5,18,0,4,4,2.25
VFLM 3144,6,14,0,2,6,1.75
VFLM 3144,7,19,1,5,3,2.375
VFLM 3144,8,15,1,3,5,1.875
VFLM 3144,9,17,1,5,3,2.125
VFLM 3144,10,20,0,2,6,2.5
VFLM 3144,11,26,0,4,4,3.25
VFLM 3144,12,23,1,5,3,2.875
VFLM 3144,13,21,1,3,5,2.625
VFLM 3144,14,27,1,5,3,3.375
VFLM 3144,15,26,0,4,4,3.25
VFLM 3144,16,19,1,7,1,2.375
VFLM 3144,17,13,1,3,5,1.625
VFLM 3144,18,21,1,1,7,2.625
VFLM 3144,19,19,1,1,7,2.375
VFLM 3144,20,18,0,4,4,2.25
VFLM 3144,21,21,1,3,5,2.625
VFLM 3144,22,17,1,3,5,2.125
VFLM 3144,23,20,0,4,4,2.5
VFLM 3144,24,18,0,6,2,2.25
VFLM 3144,25,24,0,4,4,3.0
VFLM 3144,26,15,1,3,5,1.875
VFLM 3144,27,24,0,6,2,3.0
VFLM 3144,28,22,0,4,4,2.75
VFLM 3144,29,18,0,2,6,2.25
VFLM 3144,30,14,0,6,2,1.75
VFLM 3145,1,21,1,3,5,2.625
VFLM 3145,2,16,0,4,4,2.0
VFLM 3145,3,22,0,6,2,2.75
VFLM 3145,4,18,0,4,4,2.25
VFLM 3145,5,30,0,6,2,3.75
VFLM 3145,6,21,1,5,3,2.625
VFLM 3145,7,25,1,5,3,3.125
VFLM 3145,8,24,0,2,6,3.0
VFLM 3145,9,18,0,4,4,2.25
VFLM 3145,10,22,0,4,4,2.75
VFLM 3145,11,12,0,8,0,1.5
VFLM 3145,12,17,1,3,5,2.125
VFLM 3145,13,27,1,3,5,3.375
VFLM 3145,14,27,1,5,3,3.375
VFLM 3145,15,18,0,2,6,2.25
VFLM 3145,16,22,0,4,4,2.75
VFLM 3145,17,19,1,5,3,2.375
VFLM 3145,18,18,0,4,4,2.25
VFLM 3145,19,19,1,5,3,2.375
VFLM 3145,20,19,1,3,5,2.375
VFLM 3145,21,13,1,5,3,1.625
VFLM 3145,22,22,0,6,2,2.75
VFLM 3145,23,27,1,3,5,3.375
VFLM 3145,24,21,1,3,5,2.625
VFLM 3145,25,22,0,4,4,2.75
VFLM 3145,26,25,1,3,5,3.125
VFLM 3145,27,17,1,5,3,2.125
VFLM 3145,28,19,1,5,3,2.375
VFLM 3145,29,27,1,3,5,3.375
VFLM 3145,30,19,1,3,5,2.375
VFLM 3146,1,25,1,3,5,3.125
VFLM 3146,2,18,0,2,6,2.25
VFLM 3146,3,24,0,4,4,3.0
VFLM 3146,4,21,1,5,3,2.625
VFLM 3146,5,28,0,4,4,3.5
VFLM 3146,6,19,1,5,3,2.375
VFLM 3146,7,23,1,5,3,2.875
VFLM 3146,8,25,1,3,5,3.125
VFLM 3146,9,18,0,4,4,2.25
VFLM 3146,10,27,1,5,3,3.375
VFLM 3146,11,19,1,5,3,2.375
VFLM 3146,12,17,1,3,5,2.125
VFLM 3146,13,19,1,5,3,2.375
VFLM 3146,14,17,1,3,5,2.125
VFLM 3146,15,14,0,6,2,1.75
VFLM 3146,16,19,1,5,3,2.375
VFLM 3146,17,26,0,2,6,3.25
VFLM 3146,18,24,0,2,6,3.0
VFLM 3146,19,18,0,4,4,2.25
VFLM 3146,20,21,1,1,7,2.625
VFLM 3146,21,21,1,5,3,2.625
VFLM 3146,22,23,1,3,5,2.875
VFLM 3146,23,17,1,3,5,2.125
VFLM 3146,24,25,1,5,3,3.125
VFLM 3146,25,25,1,5,3,3.125
VFLM 3146,26,21,1,3,5,2.625
VFLM 3146,27,25,1,1,7,3.125
VFLM 3146,28,18,0,4,4,2.25
VFLM 3146,29,19,1,5,3,2.375
VFLM 3146,30,14,0,4,4,1.75
VFLM 3147,1,14,0,6,2,1.75
VFLM 3147,2,19,1,1,7,2.375
VFLM 3147,3,25,1,5,3,3.125
VFLM 3147,4,20,0,4,4,2.5
VFLM 3147,5,20,0,2,6,2.5
VFLM 3147,6,12,0,2,6,1.5
VFLM 3147,7,17,1,5,3,2.125
VFLM 3147,8,27,1,3,5,3.375
VFLM 3147,9,18,0,6,2,2.25
VFLM 3147,10,19,1,5,3,2.375
VFLM 3147,11,27,1,5,3,3.375
VFLM 3147,12,28,0,4,4,3.5
VFLM 3147,13,18,0,4,4,2.25
VFLM 3147,14,29,1,3,5,3.625
VFLM 3147,15,19,1,5,3,2.375
VFLM 3147,16,19,1,3,5,2.375
VFLM 3147,17,22,0,4,4,2.75
VFLM 3147,18,15,1,3,5,1.875
VFLM 3147,19,18,0,2,6,2.25
VFLM 3147,20,19,1,5,3,2.375
VFLM 3147,21,26,0,2,6,3.25
VFLM 3147,22,21,1,3,5,2.625
VFLM 3147,23,20,0,2,6,2.5
VFLM 3147,24,18,0,6,2,2.25
VFLM 3147,25,20,0,4,4,2.5
VFLM 3147,26,16,0,4,4,2.0
VFLM 3147,27,27,1,3,5,3.375
VFLM 3147,28,20,0,4,4,2.5
VFLM 3147,29,21,1,5,3,2.625
VFLM 3147,30,18,0,4,4,2.25
VFLM 3148,1,15,1,3,5,1.875
VFLM 3148,2,24,0,4,4,3.0
VFLM 3148,3,16,0,6,2,2.0
VFLM 3148,4,23,1,5,3,2.875
VFLM 3148,5,24,0,4,4,3.0
VFLM 3148,6,15,1,3,5,1.875
VFLM 3148,7,23,1,3,5,2.875
VFLM 3148,8,18,0,4,4,2.25
VFLM 3148,9,23,1,3,5,2.875
VFLM 3148,10,15,1,5,3,1.875
VFLM 3148,11,29,1,3,5,3.625
VFLM 3148,12,18,0,4,4,2.25
VFLM 3148,13,23,1,3,5,2.875
VFLM 3148,14,21,1,3,5,2.625
VFLM 3148,15,24,0,4,4,3.0
VFLM 3148,16,20,0,2,6,2.5
VFLM 3148,17,20,0,6,2,2.5
VFLM 3148,18,19,1,5,3,2.375
VFLM 3148,19,18,0,2,6,2.25
VFLM 3148,20,26,0,4,4,3.25
VFLM 3148,21,28,0,4,4,3.5
VFLM 3148,22,14,0,4,4,1.75
VFLM 3148,23,19,1,3,5,2.375
VFLM 3148,24,26,0,4,4,3.25
VFLM 3148,25,22,0,4,4,2.75
VFLM 3148,26,17,1,3,5,2.125
VFLM 3148,27,17,1,5,3,2.125
VFLM 3148,28,23,1,3,5,2.875
VFLM 3148,29,22,0,4,4,2.75
VFLM 3148,30,27,1,3,5,3.375
VFLM 3149,1,14,0,4,4,1.75
VFLM 3149,2,18,0,4,4,2.25
VFLM 3149,3,24,0,4,4,3.0
VFLM 3149,4,19,1,5,3,2.375
VFLM 3149,5,20,0,4,4,2.5
VFLM 3149,6,19,1,3,5,2.375
VFLM 3149,7,23,1,3,5,2.875
VFLM 3149,8,20,0,6,2,2.5
VFLM 3149,9,16,0,2,6,2.0
VFLM 3149,10,18,0,6,2,2.25
VFLM 3149,11,21,1,5,3,2.625
VFLM 3149,12,22,0,6,2,2.75
VFLM 3149,13,12,0,6,2,1.5
VFLM 3149,14,15,1,5,3,1.875
VFLM 3149,15,17,1,5,3,2.125
VFLM 3149,16,21,1,5,3,2.625
VFLM 3149,17,20,0,4,4,2.5
VFLM 3149,18,19,1,3,5,2.375
VFLM 3149,19,19,1,7,1,2.375
VFLM 3149,20,17,1,7,1,2.125
VFLM 3149,21,20,0,2,6,2.5
VFLM 3149,22,19,1,7,1,2.375
VFLM 3149,23,22,0,4,4,2.75
VFLM 3149,24,17,1,3,5,2.125
VFLM 3149,25,18,0,4,4,2.25
VFLM 3149,26,20,0,4,4,2.5
VFLM 3149,27,23,1,3,5,2.875
VFLM 3149,28,23,1,5,3,2.875
VFLM 3149,29,21,1,3,5,2.625
VFLM 3149,30,11,1,3,5,1.375
VFLM 3150,1,20,0,4,4,2.5
VFLM 3150,2,20,0,4,4,2.5
VFLM 3150,3,22,0,6,2,2.75
VFLM 3150,4,19,1,3,5,2.375
VFLM 3150,5,18,0,4,4,2.25
VFLM 3150,6,20,0,4,4,2.5
VFLM 3150,7,20,0,2,6,2.5
VFLM 3150,8,24,0,6,2,3.0
VFLM 3150,9,15,1,5,3,1.875
VFLM 3150,10,20,0,6,2,2.5
VFLM 3150,11,25,1,3,5,3.125
VFLM 3150,12,22,0,2,6,2.75
VFLM 3150,13,17,1,3,5,2.125
VFLM 3150,14,14,0,4,4,1.75
VFLM 3150,15,13,1,1,7,1.625
VFLM 3150,16,20,0,6,2,2.5
VFLM 3150,17,20,0,4,4,2.5
VFLM 3150,18,18,0,4,4,2.25
VFLM 3150,19,21,1,3,5,2.625
VFLM 3150,20,31,1,5,3,3.875
VFLM 3150,21,12,0,2,6,1.5
VFLM 3150,22,11,1,5,3,1.375
VFLM 3150,23,31,1,5,3,3.875
VFLM 3150,24,24,0,4,4,3.0
VFLM 3150,25,17,1,5,3,2.125
VFLM 3150,26,18,0,4,4,2.25
VFLM 3150,27,23,1,5,3,2.875
VFLM 3150,28,18,0,6,2,2.25
VFLM 3150,29,27,1,3,5,3.375
VFLM 3150,30,23,1,7,1,2.875
VFLM 3151,1,13,1,5,3,1.625
VFLM 3151,2,16,0,4,4,2.0
VFLM 3151,3,20,0,4,4,2.5
VFLM 3151,4,10,0,4,4,1.25
VFLM 3151,5,21,1,1,7,2.625
VFLM 3151,6,13,1,5,3,1.625
VFLM 3151,7,21,1,5,3,2.625
VFLM 3151,8,29,1,5,3,3.625
VFLM 3151,9,23,1,3,5,2.875
VFLM 3151,10,14,0,4,4,1.75
VFLM 3151,11,17,1,3,5,2.125
VFLM 3151,12,14,0,4,4,1.75
VFLM 3151,13,20,0,4,4,2.5
VFLM 3151,14,23,1,7,1,2.875
VFLM 3151,15,21,1,5,3,2.625
VFLM 3151,16,18,0,4,4,2.25
VFLM 3151,17,18,0,4,4,2.25
VFLM 3151,18,28,0,4,4,3.5
VFLM 3151,19,30,0,2,6,3.75
VFLM 3151,20,21,1,5,3,2.625
VFLM 3151,21,18,0,6,2,2.25
VFLM 3151,22,21,1,3,5,2.625
VFLM 3151,23,20,0,4,4,2.5
VFLM 3151,24,14,0,4,4,1.75
VFLM 3151,25,15,1,5,3,1.875
VFLM 3151,26,23,1,3,5,2.875
VFLM 3151,27,28,0,2,6,3.5
VFLM 3151,28,13,1,3,5,1.625
VFLM 3151,29,25,1,3,5,3.125
VFLM 3151,30,21,1,5,3,2.625
VFLM 3152,1,20,0,2,6,2.5
VFLM 3152,2,31,1,5,3,3.875
VFLM 3152,3,20,0,2,6,2.5
VFLM 3152,4,24,0,6,2,3.0
VFLM 3152,5,19,1,3,5,2.375
VFLM 3152,6,24,0,4,4,3.0
VFLM 3152,7,19,1,1,7,2.375
VFLM 3152,8,17,1,3,5,2.125
VFLM 3152,9,21,1,3,5,2.625
VFLM 3152,10,26,0,4,4,3.25
VFLM 3152,11,25,1,5,3,3.125
VFLM 3152,12,17,1,3,5,2.125
VFLM 3152,13,13,1,5,3,1.625
VFLM 3152,14,29,1,5,3,3.625
VFLM 3152,15,30,0,2,6,3.75
VFLM 3152,16,27,1,3,5,3.375
VFLM 3152,17,23,1,3,5,2.875
VFLM 3152,18,22,0,4,4,2.75
VFLM 3152,19,23,1,3,5,2.875
VFLM 3152,20,17,1,3,5,2.125
VFLM 3152,21,24,0,4,4,3.0
VFLM 3152,22,21,1,5,3,2.625
VFLM 3152,23,26,0,4,4,3.25
VFLM 3152,24,27,1,5,3,3.375
VFLM 3152,25,21,1,1,7,2.625
VFLM 3152,26,27,1,3,5,3.375
VFLM 3152,27,23,1,3,5,2.875
VFLM 3152,28,17,1,5,3,2.125
VFLM 3152,29,26,0,4,4,3.25
VFLM 3152,30,25,1,5,3,3.125
VFLM 3153,1,17,1,5,3,2.125
VFLM 3153,2,17,1,3,5,2.125
VFLM 3153,3,19,1,1,7,2.375
VFLM 3153,4,24,0,4,4,3.0
VFLM 3153,5,15,1,5,3,1.875
VFLM 3153,6,21,1,5,3,2.625
VFLM 3153,7,16,0,4,4,2.0
VFLM 3153,8,21,1,3,5,2.625
VFLM 3153,9,24,0,4,4,3.0
VFLM 3153,10,18,0,4,4,2.25
VFLM 3153,11,20,0,4,4,2.5
VFLM 3153,12,22,0,4,4,2.75
VFLM 3153,13,13,1,5,3,1.625
VFLM 3153,14,25,1,7,1,3.125
VFLM 3153,15,18,0,6,2,2.25
VFLM 3153,16,19,1,5,3,2.375
VFLM 3153,17,20,0,4,4,2.5
VFLM 3153,18,21,1,3,5,2.625
VFLM 3153,19,16,0,4,4,2.0
VFLM 3153,20,13,1,5,3,1.625
VFLM 3153,21,29,1,3,5,3.625
VFLM 3153,22,22,0,2,6,2.75
VFLM 3153,23,17,1,5,3,2.125
VFLM 3153,24,15,1,5,3,1.875
VFLM 3153,25,15,1,3,5,1.875
VFLM 3153,26,22,0,6,2,2.75
VFLM 3153,27,15,1,3,5,1.875
VFLM 3153,28,29,1,1,7,3.625
VFLM 3153,29,19,1,3,5,2.375
VFLM 3153,30,21,1,5,3,2.625
VFLM 3154,1,17,1,3,5,2.125
VFLM 3154,2,18,0,6,2,2.25
VFLM 3154,3,15,1,5,3,1.875
VFLM 3154,4,23,1,5,3,2.875
VFLM 3154,5,15,1,7,1,1.875
VFLM 3154,6,20,0,4,4,2.5
VFLM 3154,7,20,0,4,4,2.5
VFLM 3154,8,20,0,4,4,2.5
VFLM 3154,9,16,0,4,4,2.0
VFLM 3154,10,31,1,3,5,3.875
VFLM 3154,11,25,1,5,3,3.125
VFLM 3154,12,21,1,7,1,2.625
VFLM 3154,13,17,1,3,5,2.125
VFLM 3154,14,26,0,4,4,3.25
VFLM 3154,15,17,1,3,5,2.125
VFLM 3154,16,15,1,3,5,1.875
VFLM 3154,17,15,1,5,3,1.875
VFLM 3154,18,21,1,5,3,2.625
VFLM 3154,19,17,1,3,5,2.125
VFLM 3154,20,16,0,6,2,2.0
VFLM 3154,21,26,0,4,4,3.25
VFLM 3154,22,25,1,3,5,3.125
VFLM 3154,23,17,1,5,3,2.125
VFLM 3154,24,28,0,2,6,3.5
VFLM 3154,25,18,0,2,6,2.25
VFLM 3154,26,23,1,3,5,2.875
VFLM 3154,27,15,1,3,5,1.875
VFLM 3154,28,16,0,0,8,2.0
VFLM 3154,29,20,0,2,6,2.5
VFLM 3154,30,16,0,4,4,2.0
VFLM 3155,1,23,1,3,5,2.875
VFLM 3155,2,9,1,5,3,1.125
VFLM 3155,3,29,1,5,3,3.625
VFLM 3155,4,13,1,3,5,1.625
VFLM 3155,5,21,1,5,3,2.625
VFLM 3155,6,22,0,4,4,2.75
VFLM 3155,7,27,1,5,3,3.375
VFLM 3155,8,31,1,3,5,3.875
VFLM 3155,9,22,0,4,4,2.75
VFLM 3155,10,26,0,2,6,3.25
VFLM 3155,11,17,1,5,3,2.125
VFLM 3155,12,19,1,5,3,2.375
VFLM 3155,13,26,0,2,6,3.25
VFLM 3155,14,29,1,3,5,3.625
VFLM 3155,15,24,0,2,6,3.0
VFLM 3155,16,22,0,2,6,2.75
VFLM 3155,17,32,0,6,2,4.0
VFLM 3155,18,18,0,2,6,2.25
VFLM 3155,19,18,0,6,2,2.25
VFLM 3155,20,21,1,5,3,2.625
VFLM 3155,21,24,0,2,6,3.0
VFLM 3155,22,20,0,6,2,2.5
VFLM 3155,23,27,1,3,5,3.375
VFLM 3155,24,24,0,4,4,3.0
VFLM 3155,25,16,0,4,4,2.0
VFLM 3155,26,21,1,5,3,2.625
VFLM 3155,27,20,0,2,6,2.5
VFLM 3155,28,23,1,3,5,2.875
VFLM 3155,29,17,1,5,3,2.125
VFLM 3155,30,17,1,3,5,2.125
VFLM 3156,1,22,0,4,4,2.75
VFLM 3156,2,23,1,7,1,2.875
VFLM 3156,3,25,1,5,3,3.125
VFLM 3156,4,19,1,5,3,2.375
VFLM 3156,5,27,1,3,5,3.375
VFLM 3156,6,20,0,4,4,2.5
VFLM 3156,7,30,0,4,4,3.75
VFLM 3156,8,24,0,2,6,3.0
VFLM 3156,9,26,0,4,4,3.25
VFLM 3156,10,16,0,6,2,2.0
VFLM 3156,11,20,0,4,4,2.5
VFLM 3156,12,24,0,0,8,3.0
VFLM 3156,13,24,0,6,2,3.0
VFLM 3156,14,16,0,4,4,2.0
VFLM 3156,15,21,1,3,5,2.625
VFLM 3156,16,20,0,4,4,2.5
VFLM 3156,17,17,1,5,3,2.125
VFLM 3156,18,26,0,8,0,3.25
VFLM 3156,19,20,0,4,4,2.5
VFLM 3156,20,21,1,5,3,2.625
VFLM 3156,21,19,1,3,5,2.375
VFLM 3156,22,27,1,3,5,3.375
VFLM 3156,23,22,0,4,4,2.75
VFLM 3156,24,15,1,5,3,1.875
VFLM 3156,25,20,0,2,6,2.5
VFLM 3156,26,21,1,5,3,2.625
VFLM 3156,27,22,0,4,4,2.75
VFLM 3156,28,12,0,4,4,1.5
VFLM 3156,29,17,1,3,5,2.125
VFLM 3156,30,20,0,6,2,2.5
VFLM 3157,1,24,0,6,2,3.0
VFLM 3157,2,19,1,5,3,2.375
VFLM 3157,3,22,0,4,4,2.75
VFLM 3157,4,25,1,5,3,3.125
VFLM 3157,5,15,1,3,5,1.875
VFLM 3157,6,25,1,5,3,3.125
VFLM 3157,7,20,0,4,4,2.5
VFLM 3157,8,14,0,2,6,1.75
VFLM 3157,9,23,1,5,3,2.875
VFLM 3157,10,23,1,3,5,2.875
VFLM 3157,11,24,0,2,6,3.0
VFLM 3157,12,22,0,4,4,2.75
VFLM 3157,13,19,1,3,5,2.375
VFLM 3157,14,16,0,2,6,2.0
VFLM 3157,15,25,1,5,3,3.125
VFLM 3157,16,22,0,4,4,2.75
VFLM 3157,17,18,0,6,2,2.25
VFLM 3157,18,11,1,3,5,1.375
VFLM 3157,19,18,0,6,2,2.25
VFLM 3157,20,21,1,3,5,2.625
VFLM 3157,21,20,0,4,4,2.5
VFLM 3157,22,19,1,3,5,2.375
VFLM 3157,23,20,0,4,4,2.5
VFLM 3157,24,23,1,3,5,2.875
VFLM 3157,25,19,1,1,7,2.375
VFLM 3157,26,26,0,4,4,3.25
VFLM 3157,27,19,1,5,3,2.375
VFLM 3157,28,22,0,4,4,2.75
VFLM 3157,29,22,0,2,6,2.75
VFLM 3157,30,24,0,6,2,3.0
VFLM 3158,1,16,0,4,4,2.0
VFLM 3158,2,24,0,4,4,3.0
VFLM 3158,3,22,0,6,2,2.75
