team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Brighton,Liverpool,home,830,1.022,1.541,2.563,47.35,26.75
Brighton,London Guns,away,845,0.869,1.925,2.794,39.64,15.62
Brighton,London Guns,home,856,1.053,1.279,2.332,60.28,32.94
Brighton,Manchester Blue,away,898,0.801,2.296,3.097,48.66,15.26
Brighton,Manchester Blue,home,818,1.075,1.656,2.731,43.77,20.42
Brighton,Manchester Red,away,855,0.703,2.09,2.793,43.04,8.89
Brighton,Manchester Red,home,874,0.986,1.415,2.402,43.14,27.12
Brighton,Newcastle,away,850,0.862,1.201,2.064,40.24,25.18
Brighton,Newcastle,home,812,1.339,0.901,2.24,50.86,50.49
Brighton,Tottenham,away,817,0.821,1.834,2.655,51.04,21.79
Brighton,Tottenham,home,838,1.044,1.167,2.211,45.7,29.24
Brighton,West Ham,away,849,0.98,1.373,2.353,41.7,30.86
Brighton,West Ham,home,831,1.48,1.233,2.714,44.4,43.92
Brighton,Wolverhampton,away,848,1.229,1.533,2.762,44.58,30.54
Brighton,Wolverhampton,home,800,1.568,1.368,2.935,61.75,41.5
Chelsea,Aston Villa,away,874,1.211,1.305,2.516,58.7,36.38
Chelsea,Aston Villa,home,842,1.361,0.988,2.349,50.83,45.84
Chelsea,Bournemouth,away,855,1.55,0.752,2.302,44.44,56.26
Chelsea,Bournemouth,home,843,2.16,0.657,2.817,54.45,78.41
Chelsea,Brighton,away,879,1.63,1.232,2.862,47.55,43.91
Chelsea,Brighton,home,841,1.924,0.803,2.727,41.26,62.78
Chelsea,Crystal Palace,away,869,1.788,0.901,2.689,49.83,54.43
Chelsea,Crystal Palace,home,853,2.142,0.732,2.873,42.56,68.35
Chelsea,Everton,away,838,1.246,1.064,2.31,46.3,40.93
Chelsea,Everton,home,849,1.764,0.836,2.601,48.53,58.19
Chelsea,Fulham,away,860,1.647,0.853,2.5,47.44,55.81
Chelsea,Fulham,home,862,2.217,0.557,2.774,46.29,78.07
Chelsea,Leeds,away,814,1.64,0.686,2.326,51.47,63.64
Chelsea,Leeds,home,828,1.897,0.598,2.495,45.65,68.6
Chelsea,Liverpool,away,837,1.24,1.504,2.744,52.45,32.5
Chelsea,Liverpool,home,851,1.442,1.298,2.74,51.23,40.07
Chelsea,London Guns,away,836,1.437,1.855,3.292,45.22,26.08
Chelsea,London Guns,home,880,1.631,1.168,2.799,61.93,55.0
Chelsea,Manchester Blue,away,843,1.248,1.868,3.116,56.11,32.27
Chelsea,Manchester Blue,home,816,1.521,1.558,3.078,52.21,39.34
Chelsea,Manchester Red,away,861,1.214,1.533,2.747,62.14,36.24
Chelsea,Manchester Red,home,840,1.544,1.364,2.908,65.6,47.98
Chelsea,Newcastle,away,818,2.06,1.119,3.178,47.43,56.48
Chelsea,Newcastle,home,862,2.342,0.788,3.13,45.48,78.89
Chelsea,Tottenham,away,816,1.217,1.585,2.801,46.81,27.94
Chelsea,Tottenham,home,866,1.651,1.135,2.786,59.93,51.73
Chelsea,West Ham,away,834,1.749,1.171,2.921,42.69,45.44
Chelsea,West Ham,home,834,2.054,1.12,3.174,41.37,53.84
Chelsea,Wolverhampton,away,847,2.043,1.024,3.066,51.36,63.28
Chelsea,Wolverhampton,home,839,2.173,0.995,3.168,43.15,64.72
Crystal Palace,Aston Villa,away,835,0.656,2.089,2.745,45.99,11.74
Crystal Palace,Aston Villa,home,825,0.793,1.772,2.565,41.7,13.21
Crystal Palace,Bournemouth,away,843,1.017,1.288,2.305,44.96,28.59
Crystal Palace,Bournemouth,home,858,1.516,1.167,2.683,48.02,42.07
Crystal Palace,Brighton,away,904,1.062,1.489,2.551,58.63,22.23
Crystal Palace,Brighton,home,864,1.231,1.787,3.019,47.92,31.6
Crystal Palace,Chelsea,away,853,0.732,2.142,2.873,42.56,8.79
Crystal Palace,Chelsea,home,869,0.901,1.788,2.689,49.83,13.23
Crystal Palace,Everton,away,852,0.626,1.56,2.185,54.93,16.2
Crystal Palace,Everton,home,851,1.095,1.007,2.102,48.77,35.14
Crystal Palace,Fulham,away,825,0.965,1.029,1.994,50.79,32.36
Crystal Palace,Fulham,home,837,1.286,0.932,2.217,52.33,43.73
Crystal Palace,Leeds,away,832,0.849,1.261,2.109,50.6,22.24
Crystal Palace,Leeds,home,859,1.15,0.952,2.102,41.68,35.51
Crystal Palace,Liverpool,away,866,0.49,2.542,3.031,43.3,9.58
Crystal Palace,Liverpool,home,863,0.709,1.921,2.63,43.11,10.89
Crystal Palace,London Guns,away,848,0.834,2.226,3.06,51.77,11.56
Crystal Palace,London Guns,home,804,1.082,1.934,3.016,50.12,21.89
Crystal Palace,Manchester Blue,away,854,0.845,2.434,3.28,62.65,15.22
Crystal Palace,Manchester Blue,home,859,0.95,2.05,3.0,49.01,12.11
Crystal Palace,Manchester Red,away,784,0.612,2.376,2.989,62.37,5.23
Crystal Palace,Manchester Red,home,860,0.965,1.729,2.694,58.02,21.63
Crystal Palace,Newcastle,away,839,1.079,1.347,2.426,46.13,31.59
Crystal Palace,Newcastle,home,840,1.439,1.131,2.57,44.4,40.48
Crystal Palace,Tottenham,away,843,0.649,2.348,2.996,47.69,7.83
Crystal Palace,Tottenham,home,828,0.915,1.786,2.702,42.63,15.46
Crystal Palace,West Ham,away,843,1.135,1.662,2.797,42.7,27.64
Crystal Palace,West Ham,home,837,1.352,1.319,2.671,57.59,38.71
Crystal Palace,Wolverhampton,away,854,1.043,1.971,3.014,52.69,16.51
Crystal Palace,Wolverhampton,home,843,1.544,1.269,2.814,36.3,43.77
Everton,Aston Villa,away,864,0.601,1.337,1.938,52.31,20.72
Everton,Aston Villa,home,829,1.148,0.76,1.908,46.08,43.31
Everton,Bournemouth,away,851,1.273,0.796,2.068,52.17,48.88
Everton,Bournemouth,home,875,1.329,0.585,1.914,44.46,53.94
Everton,Brighton,away,884,0.894,1.398,2.292,45.25,21.49
Everton,Brighton,home,825,1.177,0.644,1.821,42.91,47.76
Everton,Chelsea,away,849,0.836,1.764,2.601,48.53,14.96
Everton,Chelsea,home,838,1.064,1.246,2.31,46.3,35.2
Everton,Crystal Palace,away,851,1.007,1.095,2.102,48.77,29.96
Everton,Crystal Palace,home,852,1.56,0.626,2.185,54.93,60.45
Everton,Fulham,away,815,1.072,0.769,1.842,54.85,44.54
Everton,Fulham,home,863,1.371,0.729,2.1,52.84,53.42
Everton,Leeds,away,873,1.041,0.629,1.67,39.4,42.96
Everton,Leeds,home,833,1.067,0.546,1.613,47.3,51.02
Everton,Liverpool,away,874,0.59,1.681,2.271,51.6,15.1
Everton,Liverpool,home,845,0.73,1.331,2.062,51.6,23.43
