team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Newcastle,Manchester Blue,away,861,0.71,2.554,3.264,42.04,8.36
Newcastle,Manchester Blue,home,858,0.901,1.981,2.882,55.13,21.91
Newcastle,Manchester Red,away,831,0.841,1.929,2.77,46.21,16.25
Newcastle,Manchester Red,home,823,0.864,1.883,2.747,45.81,18.23
Newcastle,Tottenham,away,846,0.719,1.714,2.433,45.15,12.41
Newcastle,Tottenham,home,858,1.052,1.631,2.683,41.26,23.78
Newcastle,West Ham,away,847,0.785,2.031,2.816,58.44,14.99
Newcastle,West Ham,home,832,1.541,1.421,2.962,50.72,39.06
Newcastle,Wolverhampton,away,853,1.216,1.76,2.975,47.36,26.49
Newcastle,Wolverhampton,home,863,1.556,1.51,3.066,55.62,37.66
Tottenham,Aston Villa,away,870,1.003,1.338,2.341,41.49,25.06
Tottenham,Aston Villa,home,859,1.234,1.003,2.237,51.92,41.09
Tottenham,Bournemouth,away,803,1.417,0.814,2.232,45.58,52.8
Tottenham,Bournemouth,home,834,2.112,0.644,2.755,47.72,69.42
Tottenham,Brighton,away,838,1.167,1.044,2.211,45.7,35.56
Tottenham,Brighton,home,817,1.834,0.821,2.655,51.04,59.85
Tottenham,Chelsea,away,866,1.135,1.651,2.786,59.93,24.13
Tottenham,Chelsea,home,816,1.585,1.217,2.801,46.81,46.69
Tottenham,Crystal Palace,away,828,1.786,0.915,2.702,42.63,61.59
Tottenham,Crystal Palace,home,843,2.348,0.649,2.996,47.69,77.82
Tottenham,Everton,away,864,1.088,1.192,2.28,43.98,34.03
Tottenham,Everton,home,809,1.659,0.92,2.578,49.44,51.55
Tottenham,Fulham,away,878,1.654,0.708,2.362,52.16,61.28
Tottenham,Fulham,home,839,1.775,0.582,2.356,54.47,68.77
Tottenham,Leeds,away,877,1.22,0.714,1.934,56.33,50.97
Tottenham,Leeds,home,859,1.676,0.476,2.153,35.97,60.54
Tottenham,Liverpool,away,847,1.047,1.893,2.94,51.48,26.68
Tottenham,Liverpool,home,851,1.562,1.216,2.778,47.24,45.01
Tottenham,London Guns,away,819,1.148,1.625,2.773,50.67,24.05
Tottenham,London Guns,home,853,1.746,1.011,2.756,35.99,53.46
Tottenham,Manchester Blue,away,836,1.427,2.114,3.541,44.26,21.17
Tottenham,Manchester Blue,home,853,1.358,1.525,2.883,47.95,34.94
Tottenham,Manchester Red,away,832,1.263,1.653,2.916,46.15,25.12
Tottenham,Manchester Red,home,830,1.31,1.143,2.453,53.98,43.61
Tottenham,Newcastle,away,858,1.631,1.052,2.683,41.26,55.01
Tottenham,Newcastle,home,846,1.714,0.719,2.433,45.15,65.84
Tottenham,West Ham,away,837,1.455,1.099,2.554,58.06,48.27
Tottenham,West Ham,home,873,2.011,0.882,2.893,50.63,68.04
Tottenham,Wolverhampton,away,868,1.56,1.426,2.986,47.47,44.35
Tottenham,Wolverhampton,home,870,2.095,0.892,2.987,50.23,63.79
West Ham,Aston Villa,away,838,1.074,1.615,2.689,47.85,26.13
West Ham,Aston Villa,home,833,0.99,1.193,2.184,51.5,30.97
West Ham,Bournemouth,away,842,1.437,1.089,2.526,52.38,43.23
West Ham,Bournemouth,home,836,1.81,0.87,2.679,37.56,57.54
West Ham,Brighton,away,831,1.233,1.48,2.714,44.4,27.56
West Ham,Brighton,home,849,1.373,0.98,2.353,41.7,47.94
West Ham,Chelsea,away,834,1.12,2.054,3.174,41.37,20.74
West Ham,Chelsea,home,834,1.171,1.749,2.921,42.69,27.1
West Ham,Crystal Palace,away,837,1.319,1.352,2.671,57.59,34.53
West Ham,Crystal Palace,home,843,1.662,1.135,2.797,42.7,43.77
West Ham,Everton,away,897,1.05,1.254,2.304,55.85,33.33
West Ham,Everton,home,836,1.222,1.138,2.36,49.4,38.16
West Ham,Fulham,away,831,1.38,1.099,2.479,64.02,45.97
West Ham,Fulham,home,876,1.455,0.947,2.403,55.59,52.97
West Ham,Leeds,away,831,1.156,0.941,2.097,48.01,42.36
West Ham,Leeds,home,860,1.415,1.002,2.417,45.93,42.56
West Ham,Liverpool,away,826,0.817,1.907,2.724,50.85,16.59
West Ham,Liverpool,home,856,0.935,1.569,2.504,56.89,26.99
West Ham,London Guns,away,836,1.182,1.732,2.914,49.76,22.85
West Ham,London Guns,home,844,1.255,1.726,2.981,39.81,27.96
West Ham,Manchester Blue,away,853,1.108,2.589,3.696,45.13,15.94
West Ham,Manchester Blue,home,830,1.316,1.619,2.935,41.93,28.31
West Ham,Manchester Red,away,859,0.885,1.971,2.856,47.38,14.9
West Ham,Manchester Red,home,854,1.018,1.529,2.547,58.9,25.76
West Ham,Newcastle,away,832,1.421,1.541,2.962,50.72,33.65
West Ham,Newcastle,home,847,2.031,0.785,2.816,58.44,64.34
West Ham,Tottenham,away,873,0.882,2.011,2.893,50.63,10.65
West Ham,Tottenham,home,837,1.099,1.455,2.554,58.06,30.7
West Ham,Wolverhampton,away,876,1.539,1.916,3.454,52.05,35.16
West Ham,Wolverhampton,home,842,1.652,1.236,2.888,51.78,48.46
Wolverhampton,Aston Villa,away,815,0.969,1.788,2.757,42.82,14.85
Wolverhampton,Aston Villa,home,888,1.208,1.62,2.829,43.47,28.04
Wolverhampton,Bournemouth,away,853,1.484,1.508,2.992,44.55,35.76
Wolverhampton,Bournemouth,home,825,1.899,1.171,3.07,46.42,54.91
Wolverhampton,Brighton,away,800,1.368,1.568,2.935,61.75,40.62
Wolverhampton,Brighton,home,848,1.533,1.229,2.762,44.58,45.64
Wolverhampton,Chelsea,away,839,0.995,2.173,3.168,43.15,18.12
Wolverhampton,Chelsea,home,847,1.024,2.043,3.066,51.36,16.06
Wolverhampton,Crystal Palace,away,843,1.269,1.544,2.814,36.3,28.71
Wolverhampton,Crystal Palace,home,854,1.971,1.043,3.014,52.69,63.47
Wolverhampton,Everton,away,868,1.016,1.518,2.535,58.06,26.84
Wolverhampton,Everton,home,833,1.256,0.972,2.228,50.18,47.18
Wolverhampton,Fulham,away,866,1.167,1.234,2.402,57.51,37.76
Wolverhampton,Fulham,home,798,1.674,0.965,2.639,44.86,54.01
Wolverhampton,Leeds,away,864,1.241,1.164,2.405,53.94,36.11
Wolverhampton,Leeds,home,846,1.465,0.913,2.377,55.91,52.72
Wolverhampton,Liverpool,away,849,0.731,2.247,2.979,44.41,13.07
Wolverhampton,Liverpool,home,838,1.056,1.703,2.759,53.7,18.97
Wolverhampton,London Guns,away,804,1.155,2.108,3.264,45.02,20.15
Wolverhampton,London Guns,home,853,1.275,1.53,2.805,46.54,34.11
Wolverhampton,Manchester Blue,away,858,0.98,2.566,3.547,43.71,6.76
Wolverhampton,Manchester Blue,home,832,1.014,2.19,3.204,40.38,16.71
Wolverhampton,Manchester Red,away,855,0.978,2.287,3.264,41.29,16.61
Wolverhampton,Manchester Red,home,838,1.016,1.838,2.853,55.01,23.75
Wolverhampton,Newcastle,away,863,1.51,1.556,3.066,55.62,36.96
Wolverhampton,Newcastle,home,853,1.76,1.216,2.975,47.36,50.06
Wolverhampton,Tottenham,away,870,0.892,2.095,2.987,50.23,14.37
Wolverhampton,Tottenham,home,868,1.426,1.56,2.986,47.47,36.41
Wolverhampton,West Ham,away,842,1.236,1.652,2.888,51.78,27.91
Wolverhampton,West Ham,home,876,1.916,1.539,3.454,52.05,46.69
